iteration,Episode_Reward/action_rate,Episode_Reward/failure,Episode_Reward/lane,Episode_Reward/loaded_slip,Episode_Reward/upright,Episode_Reward/velocity,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/failure,reward/lane,reward/loaded_slip,reward/upright,reward/velocity
0,,,,,,,,,,-72.3326187133789,9.999999747378752e-06,-0.06830553710460663,0.10188086330890656,5.955647945404053,0.01630115509033203,32.0,0.01997361145913601,,,-0.00021404324797913432,0.0,0.9925451278686523,-0.4132869243621826,0.9997413754463196,0.1480124145746231
1,,,,,,,,,,-72.33250427246094,9.999999747378752e-06,-0.03534334897994995,0.07250180840492249,6.525696754455566,0.0367276668548584,29.0,0.019984502345323563,,,-0.00023183603479992598,0.0,0.8568148016929626,-1.2895199060440063,0.9995145201683044,0.5364148020744324
2,,,,,,,,,,-72.30655670166016,9.999999747378752e-06,-0.03734128549695015,0.06936193257570267,6.487004280090332,0.023382902145385742,29.0,0.02001388557255268,,,-0.0002220722526544705,0.0,0.6579394340515137,-1.4979435205459595,0.9996493458747864,0.5750613808631897
3,,,,,,,,,,-72.26768493652344,9.999999747378752e-06,-0.032338764518499374,0.09919805079698563,6.85514497756958,0.01524806022644043,27.0,0.02003190480172634,,,-0.0002289920230396092,0.0,0.6032998561859131,-0.532080352306366,0.9994466304779053,0.6391599178314209
4,,,,,,,,,,-72.26470947265625,9.999999747378752e-06,-0.04037025198340416,0.10359451919794083,7.274582862854004,0.01578211784362793,26.0,0.020017268136143684,,,-0.00022590493608731776,0.0,0.5956631302833557,-0.7615039944648743,0.9994904398918152,0.6731206774711609
5,,,,,,,,,,-72.29147338867188,9.999999747378752e-06,-0.035733502358198166,0.11893367022275925,7.648866176605225,0.015917062759399414,25.0,0.02000022493302822,,,-0.00023491027241107076,0.0,0.5735436081886292,-0.455756813287735,0.9996219277381897,0.7991722226142883
6,,,,,,,,,,-72.31010437011719,9.999999747378752e-06,-0.02505764551460743,0.12708434462547302,7.943378925323486,0.016231775283813477,24.0,0.019991610199213028,,,-0.0002319569612154737,0.0,0.5454702377319336,-0.20866155624389648,0.9996728897094727,0.8753337264060974
7,,,,,,,,,,-72.31059265136719,9.999999747378752e-06,-0.024851640686392784,0.137128546833992,7.978938102722168,0.020592927932739258,24.0,0.020002255216240883,,,-0.0002260760375065729,0.0,0.4954858720302582,-0.2705453932285309,0.9997178912162781,0.9105846285820007
8,,,,,,,,,,-72.29405975341797,9.999999747378752e-06,-0.03372185304760933,0.12330556660890579,8.336054801940918,0.021011829376220703,22.0,0.020012034103274345,208.5,9.472843170166016,-0.00023148446052800864,0.0,0.5037540197372437,-0.12408170104026794,0.999784529209137,0.9040034413337708
9,,,,,,,,,,-72.28577423095703,9.999999747378752e-06,-0.0396927073597908,0.16097992658615112,8.204671859741211,0.017892837524414062,23.0,0.020013954490423203,208.5,9.472843170166016,-0.00022296677343547344,0.0,0.5755441188812256,-0.03451209142804146,0.9997819066047668,0.9302012324333191
10,,,,,,,,,,-72.2904052734375,9.999999747378752e-06,-0.03632061555981636,0.16000869870185852,8.083491325378418,0.015474081039428711,23.0,0.020006421953439713,228.0,9.187692642211914,-0.00023625603353139013,0.0,0.684093177318573,-0.01348732877522707,0.9998107552528381,0.9809377193450928
11,,,,,,,,,,-72.29485321044922,9.999999747378752e-06,-0.03652231767773628,0.1538556069135666,7.851457118988037,0.015556812286376953,24.0,0.02001168206334114,243.3333282470703,9.198744773864746,-0.00023359060287475586,0.0,0.8135037422180176,-0.013353549875319004,0.9998603463172913,0.8470969796180725
12,,,,,,,,,,-72.29558563232422,9.999999747378752e-06,-0.03185369819402695,0.1495904177427292,7.558938026428223,0.015174150466918945,25.0,0.020001940429210663,243.3333282470703,9.198744773864746,-0.00022336654365062714,0.0,0.8738082051277161,-0.2553834617137909,0.9997973442077637,0.7763230204582214
13,,,,,,,,,,-72.31878662109375,1.4999999621068127e-05,-0.03290607035160065,0.12542957067489624,7.144288063049316,0.014998674392700195,26.0,0.019987601786851883,254.0,9.615575790405273,-0.00023491781030315906,0.0,0.870058000087738,-0.2601190507411957,0.9996468424797058,0.6734840869903564
14,,,,,,,,,,-72.33702850341797,1.4999999621068127e-05,-0.03682783991098404,0.06821877509355545,6.7975568771362305,0.015185832977294922,28.0,0.019982272759079933,254.0,9.615575790405273,-0.0002340350765734911,0.0,0.8420381546020508,-0.8347525596618652,0.9996271133422852,0.584453821182251
15,,,,,,,,,,-72.33992004394531,9.999999747378752e-06,-0.04505667835474014,0.07145839929580688,6.556934833526611,0.01518106460571289,29.0,0.019985100254416466,268.875,9.831443786621094,-0.0002322635700693354,0.0,0.8407208323478699,-1.1411951780319214,0.9995819926261902,0.6241758465766907
16,,,,,,,,,,-72.33047485351562,1.4999999621068127e-05,-0.03163838014006615,0.08893526345491409,6.395453929901123,0.015032052993774414,29.0,0.020003773272037506,268.875,9.831443786621094,-0.00022777974663767964,0.0,0.7841137051582336,-1.38649320602417,0.999554455280304,0.6967318058013916
17,,,,,,,,,,-72.30213928222656,1.4999999621068127e-05,-0.03952034190297127,0.05503760650753975,6.379091262817383,0.015072107315063477,30.0,0.020017528906464577,268.875,9.831443786621094,-0.0002159479190595448,0.0,0.6072689890861511,-1.567075252532959,0.999507486820221,0.658062219619751
18,,,,,,,,,,-72.29041290283203,9.999999747378752e-06,-0.04033707082271576,0.04299459978938103,6.702553749084473,0.023036956787109375,28.0,0.020023321732878685,268.875,9.831443786621094,-0.0002327405527466908,0.0,0.4389517307281494,-1.454032301902771,0.9995551109313965,0.514198899269104
19,,,,,,,,,,-72.28612518310547,1.4999999621068127e-05,-0.02858622372150421,0.035272322595119476,6.476613998413086,0.015197992324829102,29.0,0.020020978525280952,268.875,9.831443786621094,-0.00023468340805266052,0.0,0.29253068566322327,-1.2839646339416504,0.9995504021644592,0.5425431728363037
20,,,,,,,,,,-72.2773208618164,9.999999747378752e-06,-0.04397851973772049,0.03563268482685089,6.6968584060668945,0.015448808670043945,28.0,0.020041732117533684,268.875,9.831443786621094,-0.00023421210062224418,0.0,0.1920812726020813,-0.757034957408905,0.9994154572486877,0.5931054949760437
21,,,,,,,,,,-72.24059295654297,9.999999747378752e-06,-0.02693529799580574,0.04473045468330383,7.207525730133057,0.01533818244934082,26.0,0.02007276937365532,268.875,9.831443786621094,-0.00022166005510371178,0.0,0.13148801028728485,-0.7802042961120605,0.9995119571685791,0.6978340148925781
22,,,,,,,,,,-72.20703887939453,9.999999747378752e-06,-0.0344889834523201,0.04294038936495781,7.615324974060059,0.015319108963012695,25.0,0.020079365000128746,268.875,9.831443786621094,-0.00023693086404819041,0.0,0.07918085902929306,-0.4042241871356964,0.9996280670166016,0.8178005814552307
23,,,,,,,,,,-72.20848083496094,9.999999747378752e-06,-0.0274612195789814,0.04923181235790253,7.66158390045166,0.015320062637329102,25.0,0.020077448338270187,268.875,9.831443786621094,-0.00022740174608770758,0.0,0.033526938408613205,-0.40521931648254395,0.9996926188468933,0.8670516014099121
24,,,,,,,,,,-72.20513916015625,9.999999747378752e-06,-0.0327090248465538,0.0353923961520195,7.808182716369629,0.015175342559814453,24.0,0.020087290555238724,268.875,9.831443786621094,-0.00023294264974538237,0.0,0.0062846411019563675,-0.0793735682964325,0.9997654557228088,0.923576295375824
25,,,,,,,,,,-72.17793273925781,9.999999747378752e-06,-0.028172731399536133,0.05721726641058922,7.838409900665283,0.01510310173034668,24.0,0.02011675201356411,295.1000061035156,10.291162490844727,-0.0002290823613293469,0.0,0.16333292424678802,-0.1263529509305954,0.9997715353965759,0.8957040905952454
26,,,,,,,,,,-72.14844512939453,1.4999999621068127e-05,-0.03864899277687073,0.0637148916721344,8.294915199279785,0.02338385581970215,23.0,0.020128639414906502,304.6363525390625,10.460110664367676,-0.00022987504780758172,0.0,0.2617751657962799,-0.012624349445104599,0.999765932559967,0.962835967540741
27,-0.00022915724548511207,0.0,0.43572303652763367,-0.6435344219207764,0.9996461272239685,0.7385304570198059,0.0,0.0,1.0,-72.1374282836914,9.999999747378752e-06,-0.03508555889129639,0.08995424956083298,8.047901153564453,0.01534414291381836,23.0,0.02013048157095909,319.30767822265625,10.73410701751709,-0.00022646547586191446,0.0,0.5060014128684998,-0.014370755292475224,0.9998133778572083,0.9500088691711426
28,,,,,,,,,,-72.14994049072266,1.4999999621068127e-05,-0.03646959736943245,0.10026934742927551,7.742250919342041,0.015272855758666992,24.0,0.02010795660316944,325.0714416503906,10.884207725524902,-0.00023118879471439868,0.0,0.7177860140800476,-0.08271824568510056,0.9998474717140198,0.8230485320091248
29,,,,,,,,,,-72.18519592285156,9.999999747378752e-06,-0.03130120411515236,0.047307517379522324,7.529573917388916,0.01528477668762207,25.0,0.020092962309718132,330.0666809082031,10.959656715393066,-0.00024226290406659245,0.0,0.7571158409118652,-0.2608940303325653,0.9997145533561707,0.7165787220001221
30,,,,,,,,,,-72.19667053222656,1.4999999621068127e-05,-0.028926335275173187,0.052384890615940094,7.020583152770996,0.015111923217773438,27.0,0.020095661282539368,330.0666809082031,10.959656715393066,-0.00023853474704083055,0.0,0.8678889870643616,-0.4315814971923828,0.9997243881225586,0.642212986946106
31,,,,,,,,,,-72.1913070678711,9.999999747378752e-06,-0.04004059359431267,0.04221050441265106,6.619473457336426,0.015489816665649414,28.0,0.020098330453038216,330.0666809082031,10.959656715393066,-0.0002374888426857069,0.0,0.8352542519569397,-0.8303400874137878,0.9994962811470032,0.6167658567428589
32,,,,,,,,,,-72.19786071777344,1.4999999621068127e-05,-0.0330815464258194,0.049394771456718445,6.546948432922363,0.015803813934326172,29.0,0.02007930912077427,334.4375,11.020618438720703,-0.0002288096584379673,0.0,0.8427212238311768,-1.1884766817092896,0.9995293617248535,0.6225424408912659
