iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
0,,,,,,,,,,-5.611793041229248,2.60122942563612e-05,-0.05415567010641098,0.003771029645577073,0.05488777160644531,0.013497114181518555,1403.0,0.19923672080039978,,,-0.02268560789525509,-0.07879871875047684,-0.12028568983078003,-0.008559615351259708,-0.09778714925050735,1.997628092765808,-0.008654681034386158
1,,,,,,,,,,-5.6407151222229,3.9018443203531206e-05,-0.046237196773290634,0.0024449597112834454,0.050003767013549805,0.01156306266784668,1559.0,0.19918693602085114,36.0,0.5095053911209106,-0.022551581263542175,-0.1929064393043518,-0.24044346809387207,-0.1933032125234604,-0.39136776328086853,1.995397925376892,-0.0025650816969573498
2,,,,,,,,,,-5.645786762237549,5.852766480529681e-05,-0.04628404602408409,0.004217015113681555,0.04820394515991211,0.012295246124267578,1586.0,0.19915460050106049,36.0,0.5095053911209106,-0.022813549265265465,-0.15013201534748077,-0.33990445733070374,-0.6094387173652649,-0.8143339157104492,1.9958406686782837,-0.0022508541587740183
3,,,,,,,,,,-5.647387981414795,3.9018443203531206e-05,-0.05342693626880646,0.02382662147283554,0.05244302749633789,0.012172937393188477,1485.0,0.1991761475801468,36.0,0.5095053911209106,-0.022298410534858704,-0.11691763997077942,-0.7292078137397766,-1.0834683179855347,-1.5266276597976685,1.9932855367660522,-0.005793794523924589
4,,,,,,,,,,-5.653668403625488,8.77914935699664e-05,-0.041363686323165894,0.11117516458034515,0.03951287269592285,0.011960983276367188,1865.0,0.19900795817375183,36.0,0.5095053911209106,-0.02322726882994175,-0.34907689690589905,-2.038787841796875,-1.358811855316162,-1.9589749574661255,1.9539693593978882,-0.00428480701521039
5,,,,,,,,,,-5.686063766479492,3.9018443203531206e-05,-0.0715666115283966,1.2015570402145386,0.0360109806060791,0.011446952819824219,2022.0,0.19881291687488556,89.5,-1.9469265937805176,-0.023935677483677864,-1.0830917358398438,-8.302718162536621,-1.9046326875686646,-1.4446924924850464,1.7426620721817017,-0.007919162511825562
6,-0.011385021731257439,-0.19103771448135376,-1.415595293045044,-0.5027236342430115,-0.5358395576477051,0.9363951683044434,-0.0021723087411373854,1.0,0.0,-5.701279640197754,8.77914935699664e-05,-0.05292887985706329,0.05271269008517265,0.05113101005554199,0.012602090835571289,1506.0,0.1988075077533722,117.75,-3.5570008754730225,-0.023013195022940636,-0.2946099638938904,-2.293182134628296,-0.43001899123191833,-0.5535155534744263,1.9471720457077026,-0.007436147425323725
7,,,,,,,,,,-5.699432373046875,5.852766480529681e-05,-0.06286468356847763,0.32905900478363037,0.050477027893066406,0.012781143188476562,1517.0,0.19879242777824402,124.5999984741211,-3.8677093982696533,-0.022001981735229492,-0.5050029158592224,-3.176450490951538,-0.5562852025032043,-0.4711592495441437,1.907182216644287,-0.0031777017284184694
8,,,,,,,,,,-5.712216854095459,8.77914935699664e-05,-0.05182868614792824,0.0036934297531843185,0.051383018493652344,0.01279306411743164,1495.0,0.19862695038318634,124.5999984741211,-3.8677093982696533,-0.022066807374358177,-0.12985101342201233,-0.3491000235080719,-0.4962003231048584,-0.6799042820930481,1.9970587491989136,-0.0028848424553871155
9,,,,,,,,,,-5.740081310272217,5.852766480529681e-05,-0.06040576100349426,0.015146267600357533,0.05002307891845703,0.012618780136108398,1532.0,0.1984565109014511,124.5999984741211,-3.8677093982696533,-0.022687090560793877,-0.09863108396530151,-0.6504376530647278,-0.868819534778595,-1.2855610847473145,1.995737075805664,-0.005357168149203062
