iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
0,,,,,,,,,,-5.6057538986206055,2.60122942563612e-05,-0.05691870301961899,0.004038089420646429,0.0653691291809082,0.03130197525024414,993.0,0.19929605722427368,,,-0.022695936262607574,-0.058902230113744736,-0.1237047091126442,-0.005630508530884981,-0.06532788276672363,1.997557282447815,-0.008892307057976723
1,,,,,,,,,,-5.630397796630859,3.9018443203531206e-05,-0.04757963493466377,0.0024678129702806473,0.05212688446044922,0.012382030487060547,1488.0,0.19926558434963226,36.0,0.5485666394233704,-0.022521063685417175,-0.11060651391744614,-0.24446366727352142,-0.12260711193084717,-0.285901814699173,1.9950364828109741,-0.0024980828166007996
2,,,,,,,,,,-5.6330742835998535,5.852766480529681e-05,-0.03920745104551315,0.0023513655178248882,0.04778289794921875,0.011661291122436523,1614.0,0.19925479590892792,36.0,0.5485666394233704,-0.022823110222816467,-0.067157082259655,-0.3354811370372772,-0.3158452808856964,-0.5166297554969788,1.996282935142517,-0.0022383742034435272
3,,,,,,,,,,-5.633681297302246,5.852766480529681e-05,-0.04988132789731026,0.004819478373974562,0.04622006416320801,0.012188911437988281,1643.0,0.19925816357135773,36.0,0.5485666394233704,-0.022360732778906822,-0.050375472754240036,-0.6801090836524963,-0.49899545311927795,-0.963357150554657,1.9965957403182983,-0.006166219711303711
4,,,,,,,,,,-5.646143436431885,8.77914935699664e-05,-0.04815780371427536,0.03761350363492966,0.04326200485229492,0.01188802719116211,1740.0,0.19903090596199036,36.0,0.5485666394233704,-0.023164281621575356,-0.22402437031269073,-1.8963637351989746,-0.4285062253475189,-1.3548496961593628,1.969662070274353,-0.008204749785363674
5,,,,,,,,,,-5.683648109436035,3.9018443203531206e-05,-0.06719224154949188,0.638202428817749,0.037982940673828125,0.011825799942016602,1927.0,0.19882340729236603,36.0,0.5485666394233704,-0.02389415167272091,-1.2577091455459595,-6.635601043701172,-0.48531660437583923,-1.1136151552200317,1.8008918762207031,-0.005334780085831881
6,,,,,,,,,,-5.705841064453125,0.0001316872367169708,-0.045673299580812454,0.18508127331733704,0.049019813537597656,0.01176905632019043,1579.0,0.1986817568540573,121.5,-2.855125904083252,-0.023245269432663918,-0.6548808217048645,-5.444507122039795,-0.3659563958644867,-0.48725923895835876,1.8685659170150757,-0.010696589946746826
7,,,,,,,,,,-5.7281341552734375,5.852766480529681e-05,-0.06455867737531662,0.307131826877594,0.04598498344421387,0.011719942092895508,1663.0,0.19854605197906494,128.0,-3.0727033615112305,-0.021906033158302307,-0.5888792276382446,-3.2781848907470703,-0.23133695125579834,-0.3551924526691437,1.9059175252914429,-0.002678428078070283
8,,,,,,,,,,-5.746955394744873,8.77914935699664e-05,-0.05222632735967636,0.007581775542348623,0.05481290817260742,0.012142181396484375,1433.0,0.19839714467525482,128.0,-3.0727033615112305,-0.021963372826576233,-0.04956217110157013,-0.3085848093032837,-0.2017246037721634,-0.3576922118663788,1.9965747594833374,-0.0031014177948236465
9,,,,,,,,,,-5.772502899169922,5.852766480529681e-05,-0.053009286522865295,0.006019664462655783,0.05032992362976074,0.012012958526611328,1539.0,0.19823789596557617,128.0,-3.0727033615112305,-0.02263610251247883,-0.046530287712812424,-0.5327901840209961,-0.34752580523490906,-0.705324649810791,1.9977666139602661,-0.004759110510349274
