iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
0,,,,,,,,,,,-5.59766960144043,2.60122942563612e-05,-0.05753902345895767,0.004008001647889614,0.062331199645996094,0.03204989433288574,1017.0,0.19935248792171478,,,-0.022695427760481834,-0.059020448476076126,-0.12369146198034286,-0.005639167036861181,-0.06532862037420273,1.997557520866394,-0.008892140351235867
1,,,,,,,,,,,-5.624434947967529,8.77914935699664e-05,-0.035656966269016266,0.018208328634500504,0.05738091468811035,0.011981010437011719,1384.0,0.19927597045898438,29.25,0.4792790412902832,-0.0226310882717371,-0.0523197241127491,-0.12347327917814255,-0.012606862932443619,-0.08405914902687073,1.9977349042892456,-0.008497975766658783
2,,,,,,,,,,,-5.63889741897583,3.9018443203531206e-05,-0.050622642040252686,0.011770728975534439,0.05877184867858887,0.013169050216674805,1334.0,0.1991877257823944,29.25,0.4878809452056885,-0.02251940220594406,-0.0457102470099926,-0.11679833382368088,-0.010362093336880207,-0.08562662452459335,1.9978703260421753,-0.007305819075554609
3,,,,,,,,,,,-5.648213863372803,8.77914935699664e-05,-0.04195321351289749,0.004609301686286926,0.06429195404052734,0.013363122940063477,1236.0,0.19912715256214142,29.08333396911621,0.48541951179504395,-0.022218754515051842,-0.06896815448999405,-0.14050404727458954,-0.014121227897703648,-0.10080506652593613,1.9976497888565063,-0.007607350125908852
4,,,,,,,,,,,-5.649743556976318,3.9018443203531206e-05,-0.032657548785209656,0.0027946617919951677,0.058279991149902344,0.010887861251831055,1387.0,0.1992083191871643,28.75,0.4822189509868622,-0.022713715210556984,-0.05031411722302437,-0.13257089257240295,-0.008214275352656841,-0.09795072674751282,1.9979652166366577,-0.005262887105345726
5,,,,,,,,,,,-5.640386581420898,5.852766480529681e-05,-0.04167057201266289,0.0036169944796711206,0.05703878402709961,0.011851072311401367,1393.0,0.19922755658626556,28.473684310913086,0.47743770480155945,-0.023625651374459267,-0.06986028701066971,-0.14103548228740692,-0.010898816399276257,-0.09391406178474426,1.9975923299789429,-0.006757253315299749
6,,,,,,,,,,,-5.640309810638428,5.852766480529681e-05,-0.03947816789150238,0.0026497154030948877,0.05742502212524414,0.010886192321777344,1405.0,0.19924601912498474,28.571428298950195,0.4794727861881256,-0.023170143365859985,-0.04094856604933739,-0.1314913034439087,-0.005974949803203344,-0.08666235208511353,1.9981218576431274,-0.0075501445680856705
7,,,,,,,,,,,-5.639039516448975,3.9018443203531206e-05,-0.05481148138642311,0.0026406478136777878,0.05969381332397461,0.012010335922241211,1338.0,0.19920814037322998,28.83333396911621,0.48343291878700256,-0.021639103069901466,-0.03445087745785713,-0.12099265307188034,-0.007932405918836594,-0.09200310707092285,1.9981199502944946,-0.00813502911478281
8,,,,,,,,,,,-5.647126197814941,5.852766480529681e-05,-0.04419208690524101,0.0026818541809916496,0.061408042907714844,0.01149606704711914,1316.0,0.1991662234067917,28.785715103149414,0.48381295800209045,-0.021685883402824402,-0.04093406721949577,-0.1284477263689041,-0.0071179550141096115,-0.08389247208833694,1.9977012872695923,-0.008059683255851269
9,,,,,,,,,,,-5.64900016784668,5.852766480529681e-05,-0.04970487207174301,0.0017235612031072378,0.05873465538024902,0.011607170104980469,1364.0,0.199185311794281,28.71875,0.4834819436073303,-0.022450560703873634,-0.036489471793174744,-0.12337402254343033,-0.005079185590147972,-0.09531082957983017,1.9972025156021118,-0.006981638725847006
10,,,,,,,,,,,-5.6381659507751465,5.852766480529681e-05,-0.04219597205519676,0.0025329177733510733,0.05890917778015137,0.011566877365112305,1362.0,0.1993270069360733,29.0,0.4882735013961792,-0.023596152663230896,-0.047451555728912354,-0.16024528443813324,-0.014709413051605225,-0.11733361333608627,1.9976248741149902,-0.00435398705303669
11,,,,,,,,,,,-5.624831199645996,5.852766480529681e-05,-0.03535358980298042,0.0018830265616998076,0.05812501907348633,0.01245427131652832,1360.0,0.1993589699268341,29.0,0.48871302604675293,-0.022767966613173485,-0.03244069963693619,-0.13170206546783447,-0.004914482589811087,-0.07804521918296814,1.9983316659927368,-0.006826722528785467
12,,,,,,,,,,,-5.623770713806152,5.852766480529681e-05,-0.04817023500800133,0.001990863122045994,0.059623003005981445,0.012028217315673828,1339.0,0.19933420419692993,29.049999237060547,0.4900706708431244,-0.022430097684264183,-0.028908895328640938,-0.112884022295475,-0.0052920677699148655,-0.07145152240991592,1.9984937906265259,-0.007686615455895662
13,,,,,,,,,,,-5.632164001464844,5.852766480529681e-05,-0.04649851471185684,0.0013999593211337924,0.05705714225769043,0.011344194412231445,1403.0,0.19926267862319946,29.113636016845703,0.4918885827064514,-0.02390330098569393,-0.03590429946780205,-0.11841225624084473,-0.008347044698894024,-0.07852020859718323,1.9982738494873047,-0.007723359391093254
14,,,,,,,,,,,-5.645869731903076,3.9018443203531206e-05,-0.05295180901885033,0.0011206675553694367,0.05514407157897949,0.011520862579345703,1440.0,0.19912220537662506,29.25,0.49431291222572327,-0.022681022062897682,-0.05026451125741005,-0.12927627563476562,-0.012934687547385693,-0.10069691389799118,1.9982585906982422,-0.007010211702436209
