iteration,Episode_Reward/action_rate,Episode_Reward/batting,Episode_Reward/failure,Episode_Reward/upright,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/batting,reward/failure,reward/upright
0,,,,,,,,-1.3333693742752075,2.9629629352712072e-05,-0.009421443566679955,6.7460551261901855,1.7223458290100098,0.02178215980529785,55.0,0.20000898838043213,,,-0.07366720587015152,8.569098472595215,0.0,0.9995791912078857
1,-0.021137403324246407,1.5607995986938477,-1.25,0.30984342098236084,0.0,0.5,0.5,-1.3328672647476196,2.9629629352712072e-05,-0.020198944956064224,2.500282049179077,1.5503191947937012,0.010795116424560547,61.0,0.20001399517059326,31.0,1.1990108489990234,-0.03575015440583229,2.5907585620880127,-2.6041667461395264,0.999495804309845
2,,,,,,,,-1.3335490226745605,1.975308623514138e-05,-0.022415947169065475,1.043508529663086,1.5585410594940186,0.012396097183227539,61.0,0.1999804824590683,35.0,1.8389856815338135,-0.02493780292570591,1.7113600969314575,-2.6041667461395264,0.9995895028114319
3,,,,,,,,-1.3349766731262207,1.975308623514138e-05,-0.016453908756375313,2.8150382041931152,1.5797781944274902,0.011410951614379883,60.0,0.19992777705192566,42.66666793823242,2.004789352416992,-0.03567679226398468,3.7650201320648193,-2.6041667461395264,0.9995400309562683
4,,,,,,,,-1.3360496759414673,4.444444493856281e-05,-0.01465133298188448,2.4256534576416016,1.5410840511322021,0.012337923049926758,61.0,0.1999390721321106,42.66666793823242,2.004789352416992,-0.01955091580748558,4.721976280212402,0.0,0.9994735717773438
5,,,,,,,,-1.33343505859375,1.975308623514138e-05,-0.024832021445035934,0.029254160821437836,1.5542378425598145,0.011192083358764648,61.0,0.20007480680942535,50.85714340209961,2.707345724105835,-0.018027201294898987,0.050441328436136246,0.0,0.9997063279151917
6,,,,,,,,-1.3295838832855225,1.316872385359602e-05,-0.020435113459825516,0.27463364601135254,1.5604360103607178,0.011494874954223633,61.0,0.20015981793403625,57.0,3.216308116912842,-0.010650634765625,2.4818499088287354,0.0,0.999562680721283
7,,,,,,,,-1.3261070251464844,6.666666740784422e-05,-0.016789602115750313,1.5455362796783447,1.5317630767822266,0.010901927947998047,62.0,0.20031560957431793,62.09090805053711,3.5580339431762695,-0.033383265137672424,2.5480804443359375,-2.6041667461395264,0.9996617436408997
8,,,,,,,,-1.3200228214263916,9.999999747378752e-06,-0.02307351678609848,3.834883213043213,1.5546917915344238,0.010941267013549805,61.0,0.20042045414447784,56.61538314819336,2.8974413871765137,-0.03439079225063324,6.479553699493408,-5.208333492279053,0.9994332194328308
9,,,,,,,,-1.3190808296203613,3.3749998692655936e-05,-0.0038308126386255026,3.585663318634033,1.5396831035614014,0.011354923248291016,61.0,0.20039145648479462,59.71428680419922,3.177797794342041,-0.044718366116285324,4.715548992156982,0.0,0.9996867179870605
