iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,-5.544795513153076,2.60122942563612e-05,0.20574752986431122,0.7914024591445923,,,,,,,,,,,,,,1.1013741493225098,0.02867579460144043,339.0,0.1999492049217224,,,-0.23030026257038116,0.0,0.9972752928733826,0.9988805651664734,0.9977391362190247,0.9997656941413879,0.49786487221717834,0.4999091327190399,0.9985125064849854,0.0
1,,,,,,,,,,,,,,,,,-5.527139663696289,1.1561020073713735e-05,-0.014702869579195976,0.8405088782310486,,,,,,,,,,,,,,1.0479660034179688,0.020299911499023438,359.0,0.2000150978565216,34.5,3.9722278118133545,-0.23499691486358643,0.0,0.9943361282348633,0.995755672454834,0.9962387084960938,0.9994242787361145,0.49652230739593506,0.4997783899307251,0.9973554611206055,0.0
2,,,,,,,,,,,,,,,,,-5.5213494300842285,1.7341530110570602e-05,-0.0266110897064209,0.7368330955505371,,,,,,,,,,,,,,0.9862809181213379,0.020364999771118164,381.0,0.20005281269550323,47.5,5.4367852210998535,-0.23425249755382538,0.0,0.9371228814125061,0.9582148194313049,0.9405301213264465,0.9917184710502625,0.45141053199768066,0.49815571308135986,0.9700538516044617,0.0
3,,,,,,,,,,,,,,,,,-5.51347017288208,1.7341530110570602e-05,-0.03160645067691803,0.5709637999534607,,,,,,,,,,,,,,0.9868319034576416,0.019937992095947266,381.0,0.20012181997299194,71.69999694824219,7.982797145843506,-0.2346906065940857,-8.266049917438067e-06,0.8794253468513489,0.8904139399528503,0.8807066082954407,0.9768561720848083,0.39854350686073303,0.49472442269325256,0.9615278244018555,0.0
4,,,,,,,,,,,,,,,,,-5.500754356384277,2.60122942563612e-05,-0.02551349811255932,0.7985737323760986,,,,,,,,,,,,,,0.9256210327148438,0.020023107528686523,406.0,0.20024600625038147,75.36363983154297,8.354836463928223,-0.23139499127864838,0.0,0.93569415807724,0.9462432861328125,0.9302101731300354,0.9837247729301453,0.43868887424468994,0.4784604012966156,0.9725944995880127,0.0
5,-0.19956021010875702,-1.8002674551098607e-06,0.7948040962219238,0.7966784834861755,0.7666846513748169,0.8356973528862,0.359170138835907,0.40755441784858704,0.8320655226707458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.483978271484375,2.60122942563612e-05,-0.029862837865948677,0.568972647190094,0.4985194802284241,0.4245831370353699,0.1979667842388153,0.3705254793167114,0.6186237931251526,0.3648989200592041,0.1035306304693222,0.28459304571151733,0.19589339196681976,1.2374978065490723,0.0,0.0,0.0,1.009497880935669,0.02009105682373047,372.0,0.20032361149787903,89.5999984741211,9.80135440826416,-0.23729312419891357,0.0,0.9558674693107605,0.9502704739570618,0.9092659950256348,0.9751160740852356,0.427608460187912,0.4725717008113861,0.9794816970825195,0.0
6,,,,,,,,,,,,,,,,,-5.477109432220459,2.60122942563612e-05,-0.03947845846414566,0.7337632775306702,,,,,,,,,,,,,,0.9588632583618164,0.019622802734375,392.0,0.20034237205982208,93.25,10.166291236877441,-0.2330583781003952,-3.3642365337982483e-07,0.9116200804710388,0.9258421063423157,0.9149823188781738,0.9832622408866882,0.4298006594181061,0.4882611334323883,0.9706867337226868,0.0
7,,,,,,,,,,,,,,,,,-5.475792407989502,2.60122942563612e-05,-0.029879994690418243,0.5249008536338806,,,,,,,,,,,,,,0.96750807762146,0.01922893524169922,389.0,0.20034947991371155,99.55555725097656,10.828712463378906,-0.23451906442642212,-7.227766332107421e-07,0.9176220297813416,0.9236738085746765,0.8902609944343567,0.9758694767951965,0.4120725691318512,0.47989094257354736,0.9647691249847412,0.0
8,,,,,,,,,,,,,,,,,-5.472137451171875,2.60122942563612e-05,-0.032633282244205475,0.5299227833747864,,,,,,,,,,,,,,0.9233829975128174,0.020318984985351562,406.0,0.20039166510105133,102.21052551269531,11.125203132629395,-0.22731763124465942,0.0,0.9025519490242004,0.91599041223526,0.8872547149658203,0.9757413864135742,0.40712329745292664,0.48097285628318787,0.9642236828804016,0.0
9,,,,,,,,,,,,,,,,,-5.465611934661865,2.60122942563612e-05,-0.03140754997730255,0.44264644384384155,,,,,,,,,,,,,,0.9247381687164307,0.019607067108154297,406.0,0.20043842494487762,113.68000030517578,12.35184097290039,-0.22647325694561005,-4.726021245460288e-07,0.9329957962036133,0.9294676780700684,0.8817715048789978,0.968334972858429,0.41020190715789795,0.465015172958374,0.9713595509529114,0.0
10,,,,,,,,,,,,,,,,,-5.463050365447998,2.60122942563612e-05,-0.02742535062134266,0.4903227686882019,,,,,,,,,,,,,,0.9626848697662354,0.0208282470703125,390.0,0.20042410492897034,116.37036895751953,12.609698295593262,-0.23797553777694702,0.0,0.9450588226318359,0.9456716179847717,0.9140172600746155,0.9765129089355469,0.43274614214897156,0.4766169488430023,0.9796972870826721,0.0
11,,,,,,,,,,,,,,,,,-5.458647727966309,3.9018443203531206e-05,-0.028042271733283997,0.4059339761734009,,,,,,,,,,,,,,0.965019941329956,0.01940178871154785,390.0,0.20053346455097198,120.70967864990234,13.061140060424805,-0.23440754413604736,-7.367887966402975e-10,0.9600909352302551,0.9557022452354431,0.9156724810600281,0.9767023921012878,0.4330943524837494,0.4701060354709625,0.9829887747764587,0.0
12,,,,,,,,,,,,,,,,,-5.442443370819092,1.7341530110570602e-05,-0.035657767206430435,0.37938302755355835,,,,,,,,,,,,,,0.962324857711792,0.020251989364624023,390.0,0.20060914754867554,121.625,13.164840698242188,-0.2361990213394165,0.0,0.9256906509399414,0.9414977431297302,0.9271714091300964,0.985955536365509,0.43870556354522705,0.4901731014251709,0.9734539985656738,0.0
13,,,,,,,,,,,,,,,,,-5.435278415679932,2.60122942563612e-05,-0.03072497248649597,0.32893818616867065,,,,,,,,,,,,,,0.9621050357818604,0.0206301212310791,390.0,0.20064902305603027,122.48484802246094,13.241378784179688,-0.23359911143779755,-1.3875577451472054e-06,0.9086129069328308,0.9089286923408508,0.8832141757011414,0.9720585346221924,0.40774989128112793,0.4767775535583496,0.9671683311462402,0.0
14,,,,,,,,,,,,,,,,,-5.428804397583008,2.60122942563612e-05,-0.031337920576334,0.34710997343063354,,,,,,,,,,,,,,0.9268579483032227,0.01924729347229004,405.0,0.2007005661725998,124.05714416503906,13.416752815246582,-0.239232137799263,-3.5774555726675317e-06,0.9061244130134583,0.9189750552177429,0.8857151865959167,0.9749696850776672,0.4075552523136139,0.47920528054237366,0.9614067077636719,0.0
15,,,,,,,,,,,,,,,,,-5.425858020782471,2.60122942563612e-05,-0.03313196823000908,0.3057303726673126,,,,,,,,,,,,,,0.913100004196167,0.020097017288208008,411.0,0.20067620277404785,126.10526275634766,13.63227653503418,-0.23511157929897308,-5.184759732657085e-09,0.9233511090278625,0.9148659110069275,0.861787736415863,0.9624544978141785,0.3962145745754242,0.4583587646484375,0.9706299901008606,0.0
16,,,,,,,,,,,,,,,,,-5.433768272399902,3.9018443203531206e-05,-0.025571580976247787,0.264353483915329,,,,,,,,,,,,,,0.954416036605835,0.01925802230834961,394.0,0.20058366656303406,128.38095092773438,13.856086730957031,-0.23183847963809967,0.0,0.9447259902954102,0.9416263103485107,0.9076407551765442,0.9741942286491394,0.4294300377368927,0.47162318229675293,0.9780341982841492,0.0
17,,,,,,,,,,,,,,,,,-5.445883274078369,2.60122942563612e-05,-0.029874876141548157,0.22263725101947784,,,,,,,,,,,,,,0.9776298999786377,0.0211031436920166,384.0,0.20052747428417206,129.8222198486328,14.002832412719727,-0.23504328727722168,0.0,0.9574980139732361,0.9610791802406311,0.9328418374061584,0.9838669300079346,0.44258880615234375,0.48400697112083435,0.9829960465431213,0.0
18,,,,,,,,,,,,,,,,,-5.44969367980957,2.60122942563612e-05,-0.026990758255124092,0.19597844779491425,,,,,,,,,,,,,,1.0090491771697998,0.02048206329345703,372.0,0.20053459703922272,131.0833282470703,14.149157524108887,-0.23587088286876678,0.0,0.9432945251464844,0.9560340046882629,0.9417608380317688,0.9886236786842346,0.45131996273994446,0.49151405692100525,0.9781436920166016,0.0
