iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,-5.541611194610596,2.60122942563612e-05,0.13079404830932617,0.706265926361084,,,,,,,,,,,,,,1.0033338069915771,0.03898811340332031,368.0,0.19997304677963257,,,-0.24254775047302246,0.0,0.8686442375183105,0.9683755040168762,0.9372844099998474,0.9923037886619568,0.4439128339290619,0.4990716874599457,0.96240234375,0.0
1,,,,,,,,,,,,,,,,,-5.524320125579834,1.1561020073713735e-05,-0.02744024619460106,0.7761321067810059,,,,,,,,,,,,,,0.9227919578552246,0.020966768264770508,406.0,0.20002947747707367,34.5,3.734405994415283,-0.2523277699947357,0.0,0.8466434478759766,0.9561559557914734,0.9581602215766907,0.9943358302116394,0.45069265365600586,0.4956936836242676,0.964859664440155,0.0
2,,,,,,,,,,,,,,,,,-5.52002477645874,2.60122942563612e-05,-0.031233394518494606,0.5033607482910156,,,,,,,,,,,,,,0.931178092956543,0.022217988967895508,402.0,0.20005276799201965,44.5,4.816627025604248,-0.24954287707805634,-1.781321969929195e-07,0.7813141942024231,0.9117938876152039,0.848388135433197,0.9756590723991394,0.3462789058685303,0.49307259917259216,0.9366775155067444,0.0
3,,,,,,,,,,,,,,,,,-5.513472557067871,1.7341530110570602e-05,-0.04131484031677246,0.4807702600955963,,,,,,,,,,,,,,0.8902592658996582,0.020657777786254883,421.0,0.200118750333786,70.5,7.323028087615967,-0.24898384511470795,-4.331220770836808e-05,0.732614278793335,0.844994068145752,0.8773928284645081,0.9774786829948425,0.33253976702690125,0.46550753712654114,0.9315230250358582,0.0
4,,,,,,,,,,,,,,,,,-5.500596046447754,3.9018443203531206e-05,-0.03165610507130623,0.5508511662483215,,,,,,,,,,,,,,0.874453067779541,0.019283056259155273,429.0,0.20026300847530365,74.2727279663086,7.672464370727539,-0.2500703036785126,0.0,0.7918569445610046,0.9124196171760559,0.7987263202667236,0.9549193382263184,0.31617406010627747,0.4688688814640045,0.9337019920349121,0.0
5,-0.21194157004356384,-1.0739260005721007e-06,0.6594436764717102,0.7541357278823853,0.6831860542297363,0.8186854124069214,0.2763247489929199,0.395647257566452,0.7978192567825317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.48002290725708,2.60122942563612e-05,-0.04058060422539711,0.42578551173210144,1.231030821800232,0.5722514390945435,0.25632190704345703,0.5603846311569214,1.4391192197799683,0.5689063668251038,0.11732141673564911,0.3671608567237854,0.32091784477233887,4.002796649932861,0.0,0.0,0.0,0.8794159889221191,0.02014303207397461,426.0,0.20035408437252045,88.80000305175781,8.965113639831543,-0.25471189618110657,-3.9977944652491715e-06,0.7796602249145508,0.8905020356178284,0.8249818682670593,0.9574379920959473,0.33272936940193176,0.45129749178886414,0.9426862597465515,0.0
6,,,,,,,,,,,,,,,,,-5.472593784332275,2.60122942563612e-05,-0.04484757408499718,0.5316850543022156,,,,,,,,,,,,,,0.890545129776001,0.0194399356842041,421.0,0.20037491619586945,92.5,9.258332252502441,-0.25042200088500977,-2.4091198156384053e-06,0.7567853927612305,0.8835189938545227,0.8576750159263611,0.9717747569084167,0.35310831665992737,0.47145020961761475,0.9344034194946289,0.0
7,,,,,,,,,,,,,,,,,-5.472378730773926,3.9018443203531206e-05,-0.040754832327365875,0.38876718282699585,,,,,,,,,,,,,,0.899960994720459,0.019443988800048828,417.0,0.20035575330257416,98.88888549804688,9.8785400390625,-0.24884314835071564,0.0,0.7629644274711609,0.8746564984321594,0.8264350891113281,0.9619698524475098,0.3409057557582855,0.4625643491744995,0.9333868026733398,0.0
8,,,,,,,,,,,,,,,,,-5.473249435424805,2.60122942563612e-05,-0.04661360755562782,0.35509222745895386,,,,,,,,,,,,,,0.835158109664917,0.02101302146911621,448.0,0.2003721296787262,104.0,10.404218673706055,-0.24280793964862823,-5.39092116014217e-06,0.7428095936775208,0.8496026396751404,0.7762897610664368,0.9426609873771667,0.29928767681121826,0.439546138048172,0.9310593605041504,0.0
9,,,,,,,,,,,,,,,,,-5.468053340911865,3.9018443203531206e-05,-0.03328452631831169,0.4643188416957855,,,,,,,,,,,,,,0.8943233489990234,0.020444869995117188,419.0,0.2004420906305313,109.73076629638672,10.90947151184082,-0.23946011066436768,-1.7381622456014156e-05,0.7592859268188477,0.8546587824821472,0.7961847186088562,0.9378916621208191,0.31867027282714844,0.4361417293548584,0.9321052432060242,0.0
10,,,,,,,,,,,,,,,,,-5.46092414855957,2.60122942563612e-05,-0.03380272164940834,0.6231045722961426,,,,,,,,,,,,,,0.8905558586120605,0.02030014991760254,421.0,0.20045344531536102,113.36666870117188,11.183005332946777,-0.25424978137016296,0.0,0.7999089360237122,0.876650333404541,0.8100361824035645,0.93951016664505,0.3542371094226837,0.4470376670360565,0.9447765350341797,0.0
11,,,,,,,,,,,,,,,,,-5.456794261932373,2.60122942563612e-05,-0.029768897220492363,0.42988428473472595,,,,,,,,,,,,,,0.897266149520874,0.02025294303894043,418.0,0.20052310824394226,113.66666412353516,11.243505477905273,-0.24877683818340302,-2.272146275572595e-06,0.801335334777832,0.9209244847297668,0.892747700214386,0.97957843542099,0.3705556392669678,0.47733354568481445,0.9465944170951843,0.0
12,,,,,,,,,,,,,,,,,-5.445217132568359,2.60122942563612e-05,-0.041471175849437714,0.25902506709098816,,,,,,,,,,,,,,0.896151065826416,0.020162105560302734,419.0,0.2005985677242279,114.73529052734375,11.364943504333496,-0.25088492035865784,-2.468971797497943e-05,0.7725248336791992,0.8916162848472595,0.8698256611824036,0.9739312529563904,0.3415377140045166,0.4753933846950531,0.9393065571784973,0.0
13,,,,,,,,,,,,,,,,,-5.4377288818359375,3.9018443203531206e-05,-0.03113151714205742,0.43603041768074036,,,,,,,,,,,,,,0.8820369243621826,0.0190279483795166,426.0,0.20061887800693512,115.68571472167969,11.448223114013672,-0.24712009727954865,-2.0012828827020712e-05,0.740771472454071,0.8228516578674316,0.7832899689674377,0.940962016582489,0.28257986903190613,0.4377423822879791,0.9315773844718933,0.0
14,-0.23781122267246246,-3.604184485084261e-06,0.7108471393585205,0.7945355772972107,0.7392646074295044,0.8839694261550903,0.28947553038597107,0.409626841545105,0.8864321708679199,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-5.434431076049805,2.60122942563612e-05,-0.03634423762559891,0.22329764068126678,1.9400863647460938,1.431216835975647,0.4980437159538269,0.7658551335334778,2.370999336242676,1.2058411836624146,0.2430671900510788,0.6978439688682556,0.32720616459846497,5.949718952178955,0.0,0.0,0.0,0.8503508567810059,0.019013166427612305,441.0,0.20066101849079132,117.10810852050781,11.555293083190918,-0.25684306025505066,-8.27978874440305e-06,0.7477839589118958,0.8485652804374695,0.7837697863578796,0.9436731934547424,0.29589566588401794,0.43787121772766113,0.9256267547607422,0.0
15,,,,,,,,,,,,,,,,,-5.425015449523926,3.9018443203531206e-05,-0.024808956310153008,0.32327282428741455,,,,,,,,,,,,,,0.8511350154876709,0.020071983337402344,440.0,0.20074954628944397,118.64102935791016,11.681902885437012,-0.250951886177063,-3.842037040158175e-05,0.7792906761169434,0.8642947673797607,0.7784420847892761,0.9397197365760803,0.3228837549686432,0.43060871958732605,0.9356659054756165,0.0
16,,,,,,,,,,,,,,,,,-5.417043209075928,3.9018443203531206e-05,-0.03471684828400612,0.18672572076320648,,,,,,,,,,,,,,0.8842380046844482,0.02027583122253418,424.0,0.2007528692483902,122.20454406738281,12.024810791015625,-0.249103382229805,0.0,0.7991318702697754,0.8874568939208984,0.8325412273406982,0.9524537920951843,0.37978529930114746,0.44658997654914856,0.940893828868866,0.0
17,-0.24799609184265137,-7.065420049912063e-06,0.7806236743927002,0.8935583233833313,0.8458711504936218,0.9681025147438049,0.3195808231830597,0.4629307985305786,0.9370400309562683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.419704914093018,2.60122942563612e-05,-0.03555085510015488,0.19632664322853088,1.0871530771255493,0.5019975304603577,0.20961959660053253,0.40017056465148926,1.5802944898605347,0.43968549370765686,0.09347868710756302,0.3091181218624115,0.2814512848854065,5.179962158203125,0.0,0.0,0.0,0.8862299919128418,0.02082514762878418,423.0,0.20071853697299957,123.97872161865234,12.206999778747559,-0.25103577971458435,-7.827317858755123e-06,0.8155393600463867,0.9314894676208496,0.8999778628349304,0.9816603064537048,0.37682202458381653,0.47662198543548584,0.9544401168823242,0.0
18,,,,,,,,,,,,,,,,,-5.421976089477539,3.9018443203531206e-05,-0.022170575335621834,0.5164323449134827,,,,,,,,,,,,,,0.912775993347168,0.019815921783447266,411.0,0.20074471831321716,124.05882263183594,12.252408981323242,-0.2543533742427826,-2.345282609894639e-06,0.8124871253967285,0.9190864562988281,0.876340389251709,0.9758594036102295,0.35081765055656433,0.4680788516998291,0.9474213123321533,0.0
19,,,,,,,,,,,,,,,,,-5.419235706329346,2.60122942563612e-05,-0.04638106748461723,0.11631443351507187,,,,,,,,,,,,,,0.8958191871643066,0.019073009490966797,419.0,0.20071902871131897,124.55769348144531,12.292635917663574,-0.2560747563838959,-6.0282104641373735e-06,0.7687479853630066,0.8805270195007324,0.819294273853302,0.9606943130493164,0.31580448150634766,0.4532414972782135,0.9315946698188782,0.0
20,,,,,,,,,,,,,,,,,-5.428278923034668,3.9018443203531206e-05,-0.03531690686941147,0.10636314004659653,,,,,,,,,,,,,,0.8750877380371094,0.020185232162475586,428.0,0.20062637329101562,125.03773498535156,12.341662406921387,-0.26048722863197327,-4.3743420974351466e-06,0.7598555088043213,0.8799008727073669,0.8187482953071594,0.9618749618530273,0.31380823254585266,0.45148035883903503,0.9324252009391785,0.0
21,,,,,,,,,,,,,,,,,-5.438107490539551,3.9018443203531206e-05,-0.027283376082777977,0.5825227499008179,,,,,,,,,,,,,,0.8857080936431885,0.020120859146118164,423.0,0.2006157636642456,126.23213958740234,12.456254005432129,-0.2561001777648926,-3.065053135742346e-07,0.7413290143013,0.8447781205177307,0.7838547825813293,0.9416787028312683,0.291910856962204,0.4312276840209961,0.9296835064888,0.0
22,,,,,,,,,,,,,,,,,-5.434422969818115,1.7341530110570602e-05,-0.02548404224216938,1.1136232614517212,,,,,,,,,,,,,,0.8501980304718018,0.019226789474487305,441.0,0.20067162811756134,127.75409698486328,12.578369140625,-0.2455209642648697,-2.398016931692837e-07,0.7555540204048157,0.8425970077514648,0.7906484007835388,0.933731734752655,0.3316951096057892,0.4358712136745453,0.927811324596405,0.0
23,,,,,,,,,,,,,,,,,-5.426851272583008,3.9018443203531206e-05,-0.025876911357045174,1.2524052858352661,,,,,,,,,,,,,,0.8885209560394287,0.019569873809814453,422.0,0.2007184773683548,128.28125,12.623601913452148,-0.2468709498643875,-7.478925908799283e-06,0.7832700610160828,0.9024644494056702,0.8616645932197571,0.9661004543304443,0.36480918526649475,0.4602326452732086,0.9382195472717285,0.0
24,,,,,,,,,,,,,,,,,-5.422213554382324,2.60122942563612e-05,-0.032364439219236374,0.7773455381393433,,,,,,,,,,,,,,0.8794498443603516,0.019841909408569336,427.0,0.20072919130325317,129.14706420898438,12.721153259277344,-0.259212851524353,0.0,0.7890801429748535,0.9007606506347656,0.856835663318634,0.9650961756706238,0.3513428270816803,0.45510971546173096,0.9465503096580505,0.0
25,,,,,,,,,,,,,,,,,-5.419832706451416,2.60122942563612e-05,-0.027486559003591537,0.7381206750869751,,,,,,,,,,,,,,0.9088101387023926,0.019163131713867188,413.0,0.2007509022951126,129.21739196777344,12.712556838989258,-0.24707643687725067,-9.125859833147842e-06,0.7724952697753906,0.8672638535499573,0.8166947364807129,0.9558298587799072,0.32747718691825867,0.45247456431388855,0.9300366044044495,0.0
26,,,,,,,,,,,,,,,,,-5.4205641746521,2.60122942563612e-05,-0.04506784304976463,0.12134472280740738,,,,,,,,,,,,,,0.8801229000091553,0.019947052001953125,426.0,0.20071595907211304,129.21739196777344,12.712556838989258,-0.25403183698654175,-1.3160221897123847e-05,0.7540237307548523,0.8611761927604675,0.7876515984535217,0.9508621692657471,0.3189828097820282,0.4447457790374756,0.9300894141197205,0.0
27,,,,,,,,,,,,,,,,,-5.422423362731934,3.9018443203531206e-05,-0.02717047743499279,0.4056936502456665,,,,,,,,,,,,,,0.8406329154968262,0.020309925079345703,446.0,0.20073741674423218,130.02777099609375,12.798051834106445,-0.2522396743297577,-1.9584031178965233e-05,0.7493943572044373,0.8336712718009949,0.7427124977111816,0.929358959197998,0.29585570096969604,0.40899404883384705,0.9206226468086243,0.0
28,-0.23795746266841888,-7.353984983637929e-06,0.7276185154914856,0.8120158314704895,0.7294149994850159,0.8904769420623779,0.2967965602874756,0.40026557445526123,0.8845787048339844,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-5.4196672439575195,1.7341530110570602e-05,-0.03379412367939949,1.295812726020813,2.119690179824829,1.230941653251648,0.4595232307910919,0.8948531150817871,2.120806932449341,1.1116580963134766,0.22246260941028595,0.6629534363746643,0.4164494574069977,4.002141952514648,0.0,0.0,0.0,0.8339090347290039,0.019305944442749023,450.0,0.20074155926704407,131.0,12.852787017822266,-0.250267893075943,-2.5522075119965848e-08,0.7519290447235107,0.8257587552070618,0.7111442685127258,0.9139776229858398,0.28423452377319336,0.3882753849029541,0.9280157685279846,0.0
29,,,,,,,,,,,,,,,,,-5.4162092208862305,3.9018443203531206e-05,-0.02805098332464695,1.4817360639572144,,,,,,,,,,,,,,0.864311933517456,0.020067930221557617,434.0,0.20081333816051483,131.4197540283203,12.868457794189453,-0.25653448700904846,0.0,0.7799275517463684,0.8167927265167236,0.7370346188545227,0.9102351069450378,0.3249073326587677,0.3972039520740509,0.9352855682373047,0.0
30,,,,,,,,,,,,,,,,,-5.4024434089660645,2.60122942563612e-05,-0.02945009246468544,0.5853725671768188,,,,,,,,,,,,,,0.9061789512634277,0.020130157470703125,414.0,0.2009124904870987,131.4939727783203,12.851259231567383,-0.2568400502204895,-2.681479998045688e-07,0.8035086989402771,0.9138431549072266,0.8828694224357605,0.9722580909729004,0.39362239837646484,0.476616770029068,0.9462029933929443,0.0
31,,,,,,,,,,,,,,,,,-5.389608383178711,2.60122942563612e-05,-0.037455685436725616,0.09488359093666077,,,,,,,,,,,,,,0.897381067276001,0.01986098289489746,418.0,0.20099210739135742,131.7142791748047,12.88198471069336,-0.2537200450897217,-2.5554334115440724e-06,0.7769665718078613,0.8952798843383789,0.8342514038085938,0.966001570224762,0.3444293439388275,0.46480169892311096,0.9352443218231201,0.0
32,,,,,,,,,,,,,,,,,-5.381146430969238,2.60122942563612e-05,-0.03258102759718895,1.2254482507705688,,,,,,,,,,,,,,0.8612496852874756,0.019133329391479492,436.0,0.20101864635944366,131.87356567382812,12.884763717651367,-0.2522678077220917,-3.353987949594739e-06,0.722907543182373,0.8226963877677917,0.7693257927894592,0.9338445663452148,0.3102496564388275,0.4355296194553375,0.9259600043296814,0.0
