iteration,Episode_Reward/action_rate_l2,Episode_Reward/bat_tracking,Episode_Reward/joint_limit,Episode_Reward/loaded_exit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/bat_tracking,reward/joint_limit,reward/loaded_exit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,,,-31.884937286376953,2.60122942563612e-05,0.30702492594718933,1.2739815711975098,,,,,,,,,,,,,,4.346489906311035,0.017744064331054688,43.0,0.08113715052604675,16.75,2.663118839263916,-0.039896298199892044,1.9901543855667114,0.0,0.0,0.9992337226867676,0.999640941619873,0.9993364214897156,0.9999322891235352,0.49974605441093445,0.49998798966407776,0.9995406270027161,0.0
1,,,,,,,,,,,,,,,,,,,-31.662126541137695,9.999999747378752e-06,-0.04291680082678795,1.7050280570983887,,,,,,,,,,,,,,4.316710948944092,0.015839099884033203,44.0,0.08126703649759293,21.200000762939453,3.369598150253296,-0.04173262044787407,1.9806523323059082,0.0,1.1190928905477997e-29,0.9992939829826355,0.9995363354682922,0.9985036253929138,0.9998764395713806,0.49928709864616394,0.4999192953109741,0.9992995262145996,0.0
2,,,,,,,,,,,,,,,,,,,-31.63889503479004,9.999999747378752e-06,-0.04406587779521942,6.899435520172119,,,,,,,,,,,,,,4.13118839263916,0.01587200164794922,46.0,0.08129904419183731,33.28571319580078,5.253417015075684,-0.04072313383221626,1.8692545890808105,0.0,2.5218048095703125,0.9829549193382263,0.9920802116394043,0.9900078177452087,0.9989832043647766,0.4921291172504425,0.499591201543808,0.9947753548622131,0.0
3,,,,,,,,,,,,,,,,,,,-31.633731842041016,9.999999747378752e-06,-0.05232486128807068,21.59679412841797,,,,,,,,,,,,,,3.619377851486206,0.016067028045654297,52.0,0.08129876106977463,33.28571319580078,5.253417015075684,-0.041859667748212814,1.53787362575531,0.0,10.073625564575195,0.9246483445167542,0.9487395882606506,0.952154815196991,0.9938540458679199,0.4590814411640167,0.49915504455566406,0.9787400364875793,0.0
4,,,,,,,,,,,,,,,,,,,-31.636276245117188,9.999999747378752e-06,-0.03840046375989914,6.234853744506836,,,,,,,,,,,,,,3.5648908615112305,0.016068220138549805,53.0,0.08128758519887924,33.28571319580078,5.253417015075684,-0.03976421803236008,1.2690092325210571,0.0,2.5141971111297607,0.931431770324707,0.942003071308136,0.9340521693229675,0.9894382357597351,0.44916844367980957,0.4979902505874634,0.9727005958557129,0.0
5,,,,,,,,,,,,,,,,,,,-31.638050079345703,9.999999747378752e-06,-0.04140718653798103,10.482939720153809,,,,,,,,,,,,,,3.647020101547241,0.016312837600708008,52.0,0.08128748089075089,46.875,8.411250114440918,-0.041955456137657166,1.305982232093811,0.0,5.038040637969971,0.9362085461616516,0.9484699368476868,0.9462897777557373,0.991788387298584,0.45917633175849915,0.49797627329826355,0.9750531315803528,0.0
6,,,,,,,,,,,,,,,,,,,-31.637258529663086,9.999999747378752e-06,-0.04292832314968109,1.348001480102539,,,,,,,,,,,,,,3.8274788856506348,0.01735210418701172,49.0,0.08129263669252396,67.5,13.053369522094727,-0.03991743549704552,1.4927541017532349,0.0,0.0,0.9487289786338806,0.9544011950492859,0.963973343372345,0.9943220019340515,0.4721452295780182,0.498998761177063,0.9834540486335754,0.0
7,-0.040082622319459915,1.5419377088546753,0.0,3.223461151123047,0.952972948551178,0.9624347686767578,0.9626193046569824,0.9943993091583252,0.4706725776195526,0.4988984167575836,0.9831005930900574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-31.63701820373535,9.999999747378752e-06,-0.029301932081580162,1.517108678817749,0.0999971255660057,0.056627076119184494,0.0084961773827672,0.12263091653585434,0.0855659618973732,0.04923677444458008,0.02105720154941082,0.07891681790351868,0.16598005592823029,0.30685096979141235,0.0,0.0,0.0,4.091919898986816,0.01601719856262207,46.0,0.08128639310598373,86.53845977783203,17.34518814086914,-0.039903126657009125,1.7528024911880493,0.0,2.476722989915647e-27,0.9863348603248596,0.9875104427337646,0.9841857552528381,0.9975873827934265,0.4885614216327667,0.4993094503879547,0.9917556643486023,0.0
8,,,,,,,,,,,,,,,,,,,-31.638912200927734,9.999999747378752e-06,-0.04337066411972046,6.742044448852539,,,,,,,,,,,,,,4.201968193054199,0.015492916107177734,45.0,0.0812889039516449,91.07142639160156,18.369277954101562,-0.04060637578368187,1.831132411956787,0.0,2.519806146621704,0.9793235659599304,0.9857463836669922,0.9890077710151672,0.9986674189567566,0.4911065101623535,0.49966779351234436,0.9941558837890625,0.0
9,,,,,,,,,,,,,,,,,,,-31.634620666503906,9.999999747378752e-06,-0.04771587252616882,16.710058212280273,,,,,,,,,,,,,,3.8120267391204834,0.016399145126342773,50.0,0.08130698651075363,95.0,19.25672721862793,-0.04122474789619446,1.6244316101074219,0.0,7.573888301849365,0.9451498985290527,0.9648807644844055,0.9647231101989746,0.9954604506492615,0.470856636762619,0.4991832971572876,0.9837633967399597,0.0
