iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,-5.545293807983398,2.60122942563612e-05,0.1401643007993698,0.7330330014228821,,,,,,,,,,,,,,1.2453932762145996,0.0359647274017334,299.0,0.19996410608291626,,,-0.23780757188796997,0.0,0.9193500876426697,0.9768519401550293,0.9483802914619446,0.9939202666282654,0.4488060474395752,0.4989796578884125,0.9702555537223816,0.0
1,,,,,,,,,,,,,,,,,-5.525228500366211,1.1561020073713735e-05,-0.024244410917162895,0.803024172782898,,,,,,,,,,,,,,1.088184118270874,0.0227658748626709,345.0,0.20002689957618713,34.5,3.7977843284606934,-0.24346120655536652,0.0,0.9198047518730164,0.9758027195930481,0.9630102515220642,0.9953252673149109,0.4610520899295807,0.4975294768810272,0.9716302752494812,0.0
2,,,,,,,,,,,,,,,,,-5.519780158996582,2.60122942563612e-05,-0.030782613903284073,0.5537281632423401,,,,,,,,,,,,,,1.1066210269927979,0.021695852279663086,340.0,0.20006245374679565,47.5,5.227715969085693,-0.24079711735248566,-6.828680852777325e-06,0.8422658443450928,0.9083566665649414,0.8748061060905457,0.9763185381889343,0.3865188658237457,0.4810849130153656,0.9549358487129211,0.0
3,,,,,,,,,,,,,,,,,-5.512855052947998,1.7341530110570602e-05,-0.035822343081235886,0.421245276927948,,,,,,,,,,,,,,1.0600287914276123,0.02166604995727539,354.0,0.20011121034622192,74.5,7.7546467781066895,-0.24166786670684814,-4.057899059262127e-05,0.7800014615058899,0.7954581379890442,0.8024277091026306,0.9281802177429199,0.3444236218929291,0.40563642978668213,0.9191291928291321,0.0
4,,,,,,,,,,,,,,,,,-5.501870155334473,3.9018443203531206e-05,-0.034237492829561234,0.5782577395439148,,,,,,,,,,,,,,1.0843868255615234,0.022051095962524414,347.0,0.2002585381269455,83.5,8.482348442077637,-0.23989152908325195,-1.6782169041107409e-06,0.8501351475715637,0.8756625056266785,0.8709704279899597,0.9441311955451965,0.40718209743499756,0.44320979714393616,0.943608283996582,0.0
5,,,,,,,,,,,,,,,,,-5.4802565574646,2.60122942563612e-05,-0.03849193826317787,0.5336402058601379,,,,,,,,,,,,,,1.051306962966919,0.022104978561401367,357.0,0.20036311447620392,83.5,8.482348442077637,-0.24794113636016846,-2.6985412659996655e-07,0.8654665946960449,0.9146410822868347,0.9076135158538818,0.9688231348991394,0.4306788742542267,0.4663710594177246,0.9516250491142273,0.0
6,-0.15720884501934052,-1.2467654642023263e-06,0.5384433269500732,0.5588424205780029,0.5632553696632385,0.6142663955688477,0.2616637647151947,0.2851547598838806,0.6067755222320557,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.469895362854004,2.60122942563612e-05,-0.034309204667806625,0.5428345799446106,1.9787158966064453,1.2076469659805298,0.3970874845981598,0.5220921039581299,2.1768765449523926,1.0371193885803223,0.2030760943889618,0.4816536605358124,0.511172354221344,4.558634281158447,0.0,0.0,0.0,0.9860029220581055,0.019693851470947266,381.0,0.20040012896060944,86.19999694824219,8.7485933303833,-0.2422327846288681,-5.884847269044258e-06,0.815784752368927,0.8764105439186096,0.8873171210289001,0.9655415415763855,0.41084834933280945,0.45497193932533264,0.938467264175415,0.0
7,,,,,,,,,,,,,,,,,-5.46665620803833,2.60122942563612e-05,-0.038753218948841095,0.4585433304309845,,,,,,,,,,,,,,0.9752280712127686,0.022250890731811523,384.0,0.20041261613368988,88.3043441772461,8.947273254394531,-0.24249698221683502,-9.345646503788885e-06,0.7751691937446594,0.7939109802246094,0.7777007222175598,0.9166851043701172,0.35127440094947815,0.4013451039791107,0.9241994023323059,0.0
8,,,,,,,,,,,,,,,,,-5.463287353515625,3.9018443203531206e-05,-0.036023326218128204,0.5078665018081665,,,,,,,,,,,,,,0.9839739799499512,0.020155906677246094,382.0,0.20045936107635498,93.5,9.407062530517578,-0.2350541353225708,-1.4952350966268568e-06,0.8219483494758606,0.8308547139167786,0.8095828890800476,0.9164697527885437,0.3730440139770508,0.41803666949272156,0.9343332648277283,0.0
9,,,,,,,,,,,,,,,,,-5.456060409545898,2.60122942563612e-05,-0.03548620268702507,0.5143144726753235,,,,,,,,,,,,,,1.0124261379241943,0.019729137420654297,372.0,0.2004968523979187,95.36666870117188,9.566007614135742,-0.23637902736663818,-6.472514087363379e-06,0.8448689579963684,0.8885157704353333,0.8915143013000488,0.9616976380348206,0.4165176451206207,0.45583924651145935,0.9457108378410339,0.0
10,,,,,,,,,,,,,,,,,-5.454132080078125,3.9018443203531206e-05,-0.03725617751479149,0.5702403783798218,,,,,,,,,,,,,,0.9971110820770264,0.019927978515625,377.0,0.20048922300338745,97.54285430908203,9.828533172607422,-0.2479047030210495,0.0,0.8305759429931641,0.8391245007514954,0.8358328938484192,0.9382818341255188,0.3802591860294342,0.4238605797290802,0.9259853959083557,0.0
11,,,,,,,,,,,,,,,,,-5.452527046203613,2.60122942563612e-05,-0.03930008038878441,0.599502444267273,,,,,,,,,,,,,,1.0252201557159424,0.021391868591308594,366.0,0.20053644478321075,97.12820434570312,9.773836135864258,-0.2420576810836792,-1.2293258805584628e-05,0.8188459277153015,0.855809211730957,0.8487978577613831,0.947173535823822,0.36585626006126404,0.4388318955898285,0.938621461391449,0.0
12,,,,,,,,,,,,,,,,,-5.439667701721191,3.9018443203531206e-05,-0.037589121609926224,0.662255048751831,,,,,,,,,,,,,,1.0109498500823975,0.020074844360351562,372.0,0.20068302750587463,98.44186401367188,9.878653526306152,-0.24397312104701996,-8.296724445244763e-06,0.8183467984199524,0.8674244284629822,0.8693456649780273,0.9470067024230957,0.40936246514320374,0.44078150391578674,0.939213752746582,0.0
13,,,,,,,,,,,,,,,,,-5.418918132781982,2.60122942563612e-05,-0.029689490795135498,0.5975440144538879,,,,,,,,,,,,,,1.0142159461975098,0.0210721492767334,370.0,0.20078988373279572,98.56521606445312,9.906331062316895,-0.23951251804828644,-8.148279448505491e-06,0.8431300520896912,0.8838935494422913,0.8803121447563171,0.9591159224510193,0.39744997024536133,0.44673848152160645,0.9400717616081238,0.0
14,,,,,,,,,,,,,,,,,-5.408026695251465,3.9018443203531206e-05,-0.03474867716431618,0.6919623613357544,,,,,,,,,,,,,,0.9982700347900391,0.02130413055419922,376.0,0.2008586823940277,97.5999984741211,9.822691917419434,-0.24779927730560303,-1.0288320481777191e-05,0.8192348480224609,0.8569241166114807,0.8589136600494385,0.9511465430259705,0.3794719874858856,0.4393277168273926,0.9351153373718262,0.0
15,,,,,,,,,,,,,,,,,-5.397568702697754,3.9018443203531206e-05,-0.0318278968334198,0.5918970108032227,,,,,,,,,,,,,,0.994096040725708,0.019927978515625,378.0,0.20090673863887787,98.75471496582031,9.924644470214844,-0.24333779513835907,-4.752787845063722e-06,0.8370321393013,0.8812806606292725,0.8813478946685791,0.9553589820861816,0.4133776128292084,0.4459059238433838,0.9409480094909668,0.0
16,,,,,,,,,,,,,,,,,-5.395923614501953,2.60122942563612e-05,-0.03437250480055809,0.6763501167297363,,,,,,,,,,,,,,0.963637113571167,0.01961994171142578,390.0,0.2009018212556839,99.9473648071289,10.044224739074707,-0.24260126054286957,-7.71904979046667e-06,0.8174087405204773,0.8309295177459717,0.8171029686927795,0.9259135723114014,0.3855123519897461,0.41136571764945984,0.9249290823936462,0.0
17,,,,,,,,,,,,,,,,,-5.395988464355469,2.60122942563612e-05,-0.03528029844164848,0.6363670825958252,,,,,,,,,,,,,,0.9876821041107178,0.01960301399230957,381.0,0.2008981853723526,99.47541046142578,9.996428489685059,-0.24539463222026825,-3.1943422072799876e-05,0.8144888877868652,0.8596365451812744,0.8584323525428772,0.9485357403755188,0.3995889723300934,0.43519672751426697,0.9371373057365417,0.0
18,-0.16046959161758423,-1.712828452582471e-05,0.5320928692817688,0.5497890710830688,0.5489052534103394,0.6122522354125977,0.2589489817619324,0.27805882692337036,0.6106451153755188,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.398123264312744,2.60122942563612e-05,-0.040206391364336014,0.7442045211791992,2.619683027267456,1.5150634050369263,0.5020715594291687,0.6501572132110596,2.866950511932373,1.218395471572876,0.23123741149902344,0.5708053112030029,0.4842085838317871,4.635239601135254,0.0,0.0,0.0,0.9895219802856445,0.020336151123046875,380.0,0.20087020099163055,99.4000015258789,9.977609634399414,-0.24616436660289764,-1.0110903758686618e-06,0.8337134718894958,0.8642180562019348,0.8510763049125671,0.9456131458282471,0.3895508944988251,0.43502357602119446,0.9405595660209656,0.0
19,,,,,,,,,,,,,,,,,-5.401569366455078,2.60122942563612e-05,-0.03365737944841385,0.86391681432724,,,,,,,,,,,,,,0.9691119194030762,0.02058100700378418,387.0,0.20085836946964264,99.63235473632812,9.982195854187012,-0.24437503516674042,-8.003650691534858e-06,0.8253605961799622,0.8418793678283691,0.8210355639457703,0.9315093159675598,0.3773764669895172,0.4250461757183075,0.9343719482421875,0.0
20,-0.18726418912410736,-1.3678824871021789e-05,0.6456053853034973,0.6664857268333435,0.6504856944084167,0.7258233428001404,0.2990154027938843,0.3409150242805481,0.719427227973938,0.0,0.0,0.5,0.0,0.25,0.0,0.25,-5.399567604064941,2.60122942563612e-05,-0.03638255596160889,0.6394640803337097,1.7509818077087402,1.1273384094238281,0.3777080178260803,0.6264387965202332,2.003868341445923,1.0084340572357178,0.2006300389766693,0.5251988172531128,0.42265525460243225,4.272762775421143,0.0,0.0,0.0,0.9864590167999268,0.020578861236572266,381.0,0.20090751349925995,100.47222137451172,10.071043014526367,-0.2477026730775833,-3.571879642549902e-05,0.8150466084480286,0.8496673703193665,0.841408908367157,0.9448556303977966,0.39098241925239563,0.44011032581329346,0.9371395111083984,0.0
21,,,,,,,,,,,,,,,,,-5.397621154785156,3.9018443203531206e-05,-0.03417850658297539,0.6800845861434937,,,,,,,,,,,,,,0.9896130561828613,0.019918203353881836,380.0,0.20085573196411133,100.42666625976562,10.063241004943848,-0.24622070789337158,-1.0197355550189968e-05,0.843930184841156,0.8808000683784485,0.8658213019371033,0.9515142440795898,0.39667263627052307,0.44853758811950684,0.9413377642631531,0.0
22,,,,,,,,,,,,,,,,,-5.405826568603516,2.60122942563612e-05,-0.03943381458520889,0.9181641340255737,,,,,,,,,,,,,,0.9695181846618652,0.02074909210205078,387.0,0.20082421600818634,101.24359130859375,10.138187408447266,-0.2435055375099182,-3.560442928574048e-05,0.8017215132713318,0.8292824625968933,0.8088157773017883,0.9292268753051758,0.3697395324707031,0.4165504276752472,0.9283826947212219,0.0
23,,,,,,,,,,,,,,,,,-5.406953811645508,3.9018443203531206e-05,-0.03339938074350357,0.8634557127952576,,,,,,,,,,,,,,0.9772439002990723,0.01955103874206543,385.0,0.20084083080291748,101.59259033203125,10.17032527923584,-0.23695437610149384,-1.5457566405530088e-05,0.8245822787284851,0.8596089482307434,0.8590236306190491,0.9491308331489563,0.3877936899662018,0.4377155601978302,0.936768114566803,0.0
24,,,,,,,,,,,,,,,,,-5.400726318359375,2.60122942563612e-05,-0.042771901935338974,1.1776186227798462,,,,,,,,,,,,,,0.9556212425231934,0.020968914031982422,393.0,0.2009212076663971,102.26744079589844,10.23173713684082,-0.24948380887508392,-2.792772647808306e-06,0.8201553821563721,0.837630569934845,0.8191524147987366,0.9282143712043762,0.3631882965564728,0.41582798957824707,0.9253175258636475,0.0
25,,,,,,,,,,,,,,,,,-5.384176254272461,3.9018443203531206e-05,-0.02670411951839924,1.0816208124160767,,,,,,,,,,,,,,0.9695417881011963,0.019640207290649414,388.0,0.20109549164772034,103.22471618652344,10.326996803283691,-0.23875530064105988,0.0,0.830613911151886,0.8385760188102722,0.8143442273139954,0.9275312423706055,0.3675401210784912,0.41415873169898987,0.9328384399414062,0.0
26,-0.162093847990036,0.0,0.5423258543014526,0.5561684370040894,0.5490515232086182,0.6197600364685059,0.25317615270614624,0.27978914976119995,0.6210740208625793,0.0,0.0,0.25,0.0,0.75,0.0,0.0,-5.358614444732666,2.60122942563612e-05,-0.035882242023944855,0.4326844811439514,2.526473045349121,1.6017088890075684,0.4982394576072693,0.6609113216400146,2.7090559005737305,1.2771148681640625,0.24372489750385284,0.6167959570884705,0.48144710063934326,5.156939506530762,0.0,0.0,0.0,1.0004799365997314,0.020395994186401367,376.0,0.20123040676116943,103.07527160644531,10.303373336791992,-0.24218131601810455,-7.277374152181437e-06,0.8261367678642273,0.8652603030204773,0.860830545425415,0.946666955947876,0.3972730338573456,0.4374047517776489,0.9440600275993347,0.0
27,,,,,,,,,,,,,,,,,-5.342118740081787,2.60122942563612e-05,-0.03600865229964256,0.3137814402580261,,,,,,,,,,,,,,0.9863579273223877,0.020689964294433594,381.0,0.20133331418037415,103.21875,10.314777374267578,-0.24183018505573273,-1.5538387742708437e-05,0.8183655738830566,0.8601034283638,0.8558590412139893,0.9469980597496033,0.38552042841911316,0.42777928709983826,0.9372431635856628,0.0
28,,,,,,,,,,,,,,,,,-5.330915451049805,2.60122942563612e-05,-0.038028862327337265,0.6168410778045654,,,,,,,,,,,,,,0.9620511531829834,0.020470857620239258,390.0,0.20138321816921234,103.0199966430664,10.291412353515625,-0.24192126095294952,0.0,0.8004439473152161,0.8338198065757751,0.8274174332618713,0.9316042065620422,0.38572004437446594,0.4106474816799164,0.9271219372749329,0.0
29,,,,,,,,,,,,,,,,,-5.3246893882751465,2.60122942563612e-05,-0.0441046766936779,0.6677956581115723,,,,,,,,,,,,,,0.9606728553771973,0.01973724365234375,391.0,0.2014174610376358,104.94999694824219,10.46375846862793,-0.24662792682647705,-1.3338558346731588e-05,0.8181178569793701,0.8406922221183777,0.8407855033874512,0.9330670833587646,0.37547245621681213,0.41716882586479187,0.93292236328125,0.0
30,-0.165596604347229,-1.3508961274055764e-05,0.5658994317054749,0.5915387272834778,0.5944941639900208,0.6485172510147095,0.27152127027511597,0.2955639064311981,0.6392450332641602,0.0,0.0,0.0,0.0,1.0,0.0,0.25,-5.317784786224365,3.9018443203531206e-05,-0.028203684836626053,0.4825649559497833,2.4490959644317627,1.1009676456451416,0.40433141589164734,0.599815845489502,2.424320936203003,1.0160828828811646,0.199818417429924,0.4833386540412903,0.5323776602745056,4.974967002868652,0.0,0.0,0.0,1.034740924835205,0.01948690414428711,364.0,0.2015131413936615,105.95999908447266,10.554551124572754,-0.2465759962797165,0.0,0.8444382548332214,0.8916463851928711,0.8958323001861572,0.9624662399291992,0.41927728056907654,0.45010319352149963,0.9477553963661194,0.0
31,,,,,,,,,,,,,,,,,-5.3024468421936035,2.60122942563612e-05,-0.0400836206972599,0.9790477752685547,,,,,,,,,,,,,,1.018054723739624,0.019893407821655273,369.0,0.2015889436006546,105.93000030517578,10.55395793914795,-0.2444145530462265,-1.4749983847650583e-06,0.8515302538871765,0.9005058407783508,0.9000473022460938,0.9655911326408386,0.41946759819984436,0.4492610692977905,0.9473996162414551,0.0
32,,,,,,,,,,,,,,,,,-5.2957892417907715,2.60122942563612e-05,-0.03091983124613762,0.7548317909240723,,,,,,,,,,,,,,0.9762020111083984,0.020420074462890625,385.0,0.2016170173883438,105.1500015258789,10.502583503723145,-0.24135887622833252,-7.2882116910477635e-06,0.8181303143501282,0.8551095128059387,0.8529084324836731,0.9497762322425842,0.3870963752269745,0.43056777119636536,0.9297957420349121,0.0
33,-0.1629517823457718,-2.783710669973516e-06,0.5379025936126709,0.5639991164207458,0.5635503530502319,0.6238278746604919,0.25841525197029114,0.2826141119003296,0.6199731230735779,0.0,0.0,0.1666666716337204,0.0,0.8333333134651184,0.0,0.0,-5.290109634399414,2.60122942563612e-05,-0.03406325727701187,0.5923255085945129,2.444995641708374,1.3080596923828125,0.45221173763275146,0.7671741843223572,2.5283219814300537,1.1820369958877563,0.2278679758310318,0.5639163851737976,0.48902007937431335,4.18323278427124,0.0,0.0,0.0,0.967724084854126,0.019533872604370117,388.0,0.20168611407279968,105.19000244140625,10.493477821350098,-0.24675364792346954,-5.397812401497504e-06,0.7972680926322937,0.8429500460624695,0.8435115218162537,0.9393768906593323,0.38458430767059326,0.42081260681152344,0.93218594789505,0.0
34,,,,,,,,,,,,,,,,,-5.285210609436035,2.60122942563612e-05,-0.03504772111773491,0.9099475145339966,,,,,,,,,,,,,,0.9798309803009033,0.02055501937866211,383.0,0.20164607465267181,105.16999816894531,10.489450454711914,-0.25104019045829773,-3.161361746606417e-06,0.8308801054954529,0.8918874859809875,0.8739102482795715,0.962820291519165,0.3996773660182953,0.4486943185329437,0.940389096736908,0.0
35,,,,,,,,,,,,,,,,,-5.292128086090088,3.9018443203531206e-05,-0.03493375703692436,1.3621419668197632,,,,,,,,,,,,,,0.9537050724029541,0.019845962524414062,394.0,0.20162498950958252,105.1500015258789,10.491975784301758,-0.24835900962352753,-1.4920677813279326e-06,0.8114389777183533,0.8194971680641174,0.7986685633659363,0.918811023235321,0.35506901144981384,0.40073585510253906,0.9174572825431824,0.0
36,-0.20007838308811188,-6.981421847740421e-06,0.6711664199829102,0.6905201077461243,0.6676550507545471,0.7585335373878479,0.3100951611995697,0.3393186330795288,0.7535715103149414,0.0,0.0,0.3333333432674408,0.0,0.6666666865348816,0.0,0.0,-5.290783882141113,2.60122942563612e-05,-0.038296353071928024,0.9058647751808167,2.6530637741088867,1.5977281332015991,0.5565271973609924,0.7528624534606934,2.60925030708313,1.348905086517334,0.267539918422699,0.6705426573753357,0.4926595389842987,4.724670886993408,0.0,0.0,0.0,0.9729330539703369,0.020823001861572266,386.0,0.20165307819843292,105.20999908447266,10.492512702941895,-0.2536156475543976,-8.731757588975597e-06,0.7887161374092102,0.8350275158882141,0.8272787928581238,0.9337807297706604,0.3718465566635132,0.41721177101135254,0.9250125885009766,0.0
37,,,,,,,,,,,,,,,,,-5.287035942077637,5.852766480529681e-05,-0.034033820033073425,0.7042760848999023,,,,,,,,,,,,,,0.9656960964202881,0.019897937774658203,389.0,0.20170211791992188,104.66000366210938,10.4213285446167,-0.24576278030872345,0.0,0.8014786839485168,0.8223493695259094,0.8033251762390137,0.9208862781524658,0.36339855194091797,0.40215420722961426,0.9241669178009033,0.0
38,,,,,,,,,,,,,,,,,-5.271979808807373,2.60122942563612e-05,-0.04098709300160408,0.8599793314933777,,,,,,,,,,,,,,0.9741871356964111,0.0199429988861084,386.0,0.20184242725372314,105.41000366210938,10.47921085357666,-0.2541549801826477,0.0,0.7986104488372803,0.8543125987052917,0.838503360748291,0.9357215762138367,0.37086501717567444,0.42314544320106506,0.9327922463417053,0.0
39,,,,,,,,,,,,,,,,,-5.2560906410217285,2.60122942563612e-05,-0.0351414829492569,0.4390815198421478,,,,,,,,,,,,,,0.9655230045318604,0.020576953887939453,389.0,0.20192661881446838,105.0999984741211,10.447700500488281,-0.25422945618629456,-1.5132449334487319e-05,0.8073822855949402,0.8704695701599121,0.8620104789733887,0.9562970995903015,0.37893834710121155,0.42817702889442444,0.9269409775733948,0.0
40,,,,,,,,,,,,,,,,,-5.242061138153076,2.60122942563612e-05,-0.03310421481728554,0.7387404441833496,,,,,,,,,,,,,,0.9390659332275391,0.01959705352783203,400.0,0.20203961431980133,105.33999633789062,10.46595573425293,-0.24722833931446075,-1.863920442701783e-05,0.7914456725120544,0.8280487060546875,0.813903272151947,0.9247748255729675,0.3553597033023834,0.403715044260025,0.9196693301200867,0.0
41,,,,,,,,,,,,,,,,,-5.228382110595703,2.60122942563612e-05,-0.03585697337985039,0.5562837719917297,,,,,,,,,,,,,,0.9235539436340332,0.020751237869262695,406.0,0.20211344957351685,105.83999633789062,10.494508743286133,-0.24801217019557953,-5.513444648386212e-06,0.7563331127166748,0.8123437762260437,0.8116812705993652,0.9243595004081726,0.3571217954158783,0.40017572045326233,0.9139254689216614,0.0
42,,,,,,,,,,,,,,,,,-5.2196431159973145,2.60122942563612e-05,-0.0341164693236351,0.5853397250175476,,,,,,,,,,,,,,0.995708703994751,0.0208132266998291,377.0,0.20216155052185059,105.73999786376953,10.464842796325684,-0.25366178154945374,-6.343998961710895e-07,0.8187915682792664,0.8636048436164856,0.8512685894966125,0.9394974708557129,0.3879655599594116,0.426318883895874,0.9315604567527771,0.0
43,,,,,,,,,,,,,,,,,-5.210995197296143,2.60122942563612e-05,-0.030618110671639442,0.5614026188850403,,,,,,,,,,,,,,0.983159065246582,0.021193981170654297,382.0,0.2022397667169571,105.91000366210938,10.474568367004395,-0.24615080654621124,-1.8496945131118991e-06,0.8269512057304382,0.8709352612495422,0.839101254940033,0.9418436884880066,0.3796677887439728,0.4277723729610443,0.929949939250946,0.0
44,,,,,,,,,,,,,,,,,-5.20242166519165,2.60122942563612e-05,-0.036442212760448456,0.4028093218803406,,,,,,,,,,,,,,0.9644219875335693,0.020048141479492188,390.0,0.20226314663887024,106.04000091552734,10.48991870880127,-0.2528228163719177,-1.6916226741159335e-05,0.7983048558235168,0.8367165923118591,0.8132486343383789,0.9343498349189758,0.36861488223075867,0.4095669984817505,0.9162532687187195,0.0
45,,,,,,,,,,,,,,,,,-5.202362537384033,2.60122942563612e-05,-0.03410171717405319,0.4267418682575226,,,,,,,,,,,,,,0.9960041046142578,0.02083301544189453,377.0,0.2022407352924347,106.12999725341797,10.479361534118652,-0.24826151132583618,-1.335425167781068e-05,0.7953195571899414,0.8230994343757629,0.7959596514701843,0.9208986163139343,0.3609936237335205,0.4056428372859955,0.9163980484008789,0.0
46,,,,,,,,,,,,,,,,,-5.208481311798096,2.60122942563612e-05,-0.03743644431233406,0.5754595398902893,,,,,,,,,,,,,,1.0647590160369873,0.020105838775634766,353.0,0.2021709382534027,106.37999725341797,10.493520736694336,-0.2453424483537674,0.0,0.813056468963623,0.8566301465034485,0.8372345566749573,0.9414389133453369,0.39139866828918457,0.4159516394138336,0.921519935131073,0.0
47,,,,,,,,,,,,,,,,,-5.215514183044434,3.9018443203531206e-05,-0.03332086652517319,1.5693563222885132,,,,,,,,,,,,,,0.9914340972900391,0.02143383026123047,379.0,0.20217566192150116,106.5,10.488547325134277,-0.25280359387397766,-3.571388106138329e-06,0.8079198002815247,0.8174917697906494,0.7771132588386536,0.9081475138664246,0.37219569087028503,0.38262465596199036,0.9065211415290833,0.0
48,,,,,,,,,,,,,,,,,-5.214189052581787,2.60122942563612e-05,-0.04002983495593071,0.3691886365413666,,,,,,,,,,,,,,0.9972109794616699,0.021341800689697266,377.0,0.2021646648645401,106.91000366210938,10.521347045898438,-0.24825042486190796,0.0,0.8146652579307556,0.8670594096183777,0.8511145710945129,0.944837749004364,0.3900662660598755,0.42401519417762756,0.9256158471107483,0.0
49,,,,,,,,,,,,,,,,,-5.222438812255859,2.60122942563612e-05,-0.037544816732406616,0.5071302652359009,,,,,,,,,,,,,,0.9828958511352539,0.021289348602294922,382.0,0.20205995440483093,106.76000213623047,10.511439323425293,-0.24274039268493652,-1.149278523371322e-05,0.8367078900337219,0.8748159408569336,0.8518509864807129,0.9486917853355408,0.370667964220047,0.4287358522415161,0.9273157119750977,0.0
50,,,,,,,,,,,,,,,,,-5.234121322631836,2.60122942563612e-05,-0.03408359736204147,1.4752486944198608,,,,,,,,,,,,,,0.969336986541748,0.02007889747619629,388.0,0.20201751589775085,106.7300033569336,10.501852989196777,-0.24563013017177582,-2.580165528343059e-06,0.8008152842521667,0.8399558067321777,0.8009878993034363,0.9305607676506042,0.33950114250183105,0.41474345326423645,0.9174793362617493,0.0
51,,,,,,,,,,,,,,,,,-5.23440408706665,3.9018443203531206e-05,-0.03418769687414169,0.9439966678619385,,,,,,,,,,,,,,0.9567110538482666,0.020490646362304688,392.0,0.20206674933433533,106.80999755859375,10.507896423339844,-0.24893511831760406,-1.9202541807317175e-05,0.7983288764953613,0.8169877529144287,0.7650008201599121,0.9177561402320862,0.3361424207687378,0.4000602960586548,0.9137757420539856,0.0
52,-0.17112939059734344,-4.894772700936301e-06,0.5625025033950806,0.5661851167678833,0.5358452200889587,0.6379523277282715,0.2320069521665573,0.2811468243598938,0.6428556442260742,0.0,0.0,0.75,0.0,0.25,0.0,0.0,-5.22514009475708,2.60122942563612e-05,-0.034512657672166824,0.6788090467453003,2.668546676635742,1.856106162071228,0.5997023582458496,0.9152659177780151,3.173776626586914,1.5792818069458008,0.3099983334541321,0.8191733360290527,0.48758918046951294,5.572795391082764,0.0,0.0,0.0,0.9600040912628174,0.020800113677978516,391.0,0.2021418660879135,106.4800033569336,10.448013305664062,-0.2562560439109802,-1.4103618923400063e-05,0.8209313750267029,0.8324472308158875,0.7906171679496765,0.9163711667060852,0.3491940200328827,0.4065214693546295,0.9194760322570801,0.0
