iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,41.14133071899414,2.60122942563612e-05,-0.08428885787725449,0.03341847285628319,,,,,,,,,,,,,,1.0626709461212158,0.04409003257751465,346.0,0.9996482729911804,15.545454978942871,-0.4286274015903473,-5.737642288208008,-2.24360846914351e-05,0.20820076763629913,0.7703061699867249,0.7882810235023499,0.9773064255714417,0.3799290359020233,0.49598193168640137,0.8345738053321838,0.0
1,,,,,,,,,,,,,,,,,41.137359619140625,0.0002962962898891419,-0.03590461611747742,0.08270825445652008,,,,,,,,,,,,,,1.027435064315796,0.022467851638793945,365.0,0.9994056224822998,17.83333396911621,-0.4991866946220398,-5.924343109130859,-3.1133091397350654e-05,0.21048180758953094,0.7546043992042542,0.6398507952690125,0.9495196342468262,0.3001644015312195,0.4881693422794342,0.7443289160728455,0.0
2,-1.3650866746902466,-9.394571861776058e-06,0.04276517033576965,0.16635894775390625,0.13709984719753265,0.2152230143547058,0.06563728302717209,0.10977768152952194,0.17312447726726532,0.0,0.0,0.09090909361839294,0.0,0.4545454680919647,0.7272727489471436,0.0,41.12110900878906,8.77914935699664e-05,-0.06735347956418991,0.08571358770132065,3.055874824523926,0.6148354411125183,0.1375650316476822,0.5266284346580505,4.676187515258789,0.6839450597763062,0.12564502656459808,0.4104461967945099,0.7509697079658508,17.134859085083008,0.0,0.0,0.0,0.8884618282318115,0.02126908302307129,422.0,0.998729407787323,24.40625,-0.8328824043273926,-5.790672779083252,-9.9551889434224e-06,0.17057521641254425,0.6819012761116028,0.5822269320487976,0.9084036946296692,0.30456018447875977,0.45139193534851074,0.7349010109901428,0.0
3,,,,,,,,,,,,,,,,,41.108089447021484,0.00019753086962737143,-0.060855355113744736,0.1084584891796112,,,,,,,,,,,,,,0.9006428718566895,0.0215909481048584,416.0,0.9984056949615479,26.10416603088379,-0.946354866027832,-5.902588367462158,-6.742390542058274e-05,0.16829492151737213,0.6977751851081848,0.6299318671226501,0.9219372868537903,0.3020595610141754,0.45016852021217346,0.7287988662719727,0.0
4,,,,,,,,,,,,,,,,,41.09621047973633,0.0001316872367169708,-0.060771893709897995,0.08283936977386475,,,,,,,,,,,,,,0.8903050422668457,0.02087092399597168,421.0,0.9979400634765625,26.62295150756836,-0.9790241718292236,-5.830219745635986,-0.00018835034279618412,0.18794237077236176,0.7299337983131409,0.7086305618286133,0.9475683569908142,0.33811578154563904,0.4704873561859131,0.7736242413520813,0.0
5,-0.9861091375350952,-3.365008979017148e-06,0.02963242493569851,0.12458143383264542,0.11861896514892578,0.1657145768404007,0.055451370775699615,0.0851978287100792,0.13032913208007812,0.0,0.0,0.0,0.0,0.20000000298023224,1.100000023841858,0.0,41.084651947021484,0.0001316872367169708,-0.061533547937870026,0.12312242388725281,2.2423195838928223,0.4332661032676697,0.04770808294415474,0.5614478588104248,3.7572479248046875,0.5391697287559509,0.08732002228498459,0.35927414894104004,0.7588409781455994,12.970495223999023,0.0,0.0,0.0,0.8356659412384033,0.020215988159179688,448.0,0.9976280331611633,26.472972869873047,-0.9532422423362732,-5.94201135635376,-1.1394874491088558e-05,0.17425675690174103,0.7074773907661438,0.6761390566825867,0.949908971786499,0.3128407299518585,0.4824047386646271,0.7531903386116028,0.0
6,-1.0984077453613281,-7.687162906222511e-08,0.03272000327706337,0.13022929430007935,0.12130424380302429,0.17176248133182526,0.06082332134246826,0.08607260882854462,0.14221549034118652,0.0,0.0,0.1818181872367859,0.0,0.27272728085517883,0.8181818127632141,0.0,41.076786041259766,0.00019753086962737143,-0.05951157957315445,0.16615869104862213,2.808962821960449,0.6117063164710999,0.11493604630231857,0.5227242112159729,4.470548629760742,0.6858815550804138,0.11514072120189667,0.4131465256214142,0.6492159962654114,15.753090858459473,0.0,0.0,0.0,0.8261299133300781,0.019999980926513672,453.0,0.9973387718200684,27.0,-0.9832190871238708,-5.875196933746338,-1.9816632175206905e-06,0.1722034215927124,0.7005006670951843,0.60309237241745,0.917008638381958,0.2930084764957428,0.45919719338417053,0.7560622096061707,0.0
7,-0.9139425158500671,-5.827518634760054e-06,0.026785602793097496,0.11153002828359604,0.1025008112192154,0.14555661380290985,0.04851455241441727,0.07311994582414627,0.1213996410369873,0.0,0.0,0.0714285746216774,0.0,0.2142857164144516,1.0714285373687744,0.0,41.06871795654297,0.0001316872367169708,-0.06157039478421211,0.17566660046577454,2.8160786628723145,0.5352999567985535,0.09250694513320923,0.4749738276004791,3.9825122356414795,0.6176208257675171,0.1032898798584938,0.35908132791519165,0.6744665503501892,14.370400428771973,0.0,0.0,0.0,0.8420820236206055,0.022362232208251953,444.0,0.9971451759338379,27.399999618530273,-1.0050193071365356,-5.877185821533203,-6.829531776020303e-05,0.16669225692749023,0.702645480632782,0.6555892825126648,0.9262528419494629,0.30432358384132385,0.4653927981853485,0.7741749882698059,0.0
8,-0.805269718170166,-6.12215913520231e-08,0.02519039250910282,0.09980680793523788,0.09652575105428696,0.13058896362781525,0.046071749180555344,0.06499119102954865,0.10762640088796616,0.0,0.0,0.1428571492433548,0.0,0.0714285746216774,1.3571428060531616,0.0,41.060089111328125,0.00019753086962737143,-0.06531736999750137,0.12853263318538666,2.7357065677642822,0.5019271969795227,0.08075421303510666,0.40904754400253296,4.445148944854736,0.5703806281089783,0.08516620099544525,0.3193795382976532,0.6606288552284241,14.740012168884277,0.0,0.0,0.0,0.8484499454498291,0.020089149475097656,442.0,0.9966706037521362,26.6200008392334,-0.9835681915283203,-5.674831867218018,-4.57450732938014e-06,0.1732381135225296,0.7030994296073914,0.6777873039245605,0.93858402967453,0.318416565656662,0.4697999954223633,0.7734887003898621,0.0
9,-0.6104270815849304,-3.0720534596184734e-06,0.020506735891103745,0.08097371459007263,0.07768739759922028,0.10477516800165176,0.03580333665013313,0.05387604981660843,0.08811752498149872,0.0,0.0,0.0,0.0,0.10000000149011612,1.2000000476837158,0.0,41.04043960571289,0.0001316872367169708,-0.05965694785118103,0.05825129896402359,2.748823881149292,0.34568846225738525,0.040350496768951416,0.4076416492462158,3.9829933643341064,0.501912534236908,0.06622917950153351,0.3031017482280731,0.5984781384468079,13.823808670043945,0.0,0.0,0.0,0.8828330039978027,0.019800901412963867,425.0,0.9957846403121948,22.729999542236328,-0.7849532961845398,-5.691219329833984,-1.876786700449884e-05,0.1785266399383545,0.7364163994789124,0.7389280796051025,0.966075599193573,0.3439457416534424,0.4956780672073364,0.8199083209037781,0.0
