iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Reward/motion_world_foot_pos,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel,reward/motion_world_foot_pos
0,,,,,,,,,,,,,,,,,,,-25.614171981811523,2.60122942563612e-05,0.1591496467590332,1.142302393913269,,,,,,,,,,,,,,8.985304832458496,0.04003286361694336,21.0,0.10008937120437622,,,-0.060754504054784775,0.0,0.9932559132575989,0.9985918998718262,0.9970529675483704,0.9997733235359192,0.4986506998538971,0.4999113082885742,0.9976289868354797,0.0,0.8529624938964844
1,,,,,,,,,,,,,,,,,,,-25.60483169555664,9.999999747378752e-06,-0.032347481697797775,1.1944406032562256,,,,,,,,,,,,,,8.361898422241211,0.021793127059936523,22.0,0.10008342564105988,37.0,5.128684043884277,-0.061712875962257385,0.0,0.9908010959625244,0.9975740313529968,0.9942678809165955,0.9993861317634583,0.4974658191204071,0.499443382024765,0.9931710362434387,0.0,0.7099753022193909
2,,,,,,,,,,,,,,,,,,,-25.606914520263672,2.2500000341096893e-05,-0.03725018724799156,1.2370145320892334,,,,,,,,,,,,,,8.215600967407227,0.020254850387573242,23.0,0.10006660968065262,29.66666603088379,4.11198616027832,-0.05802236124873161,0.0,0.9897065162658691,0.9970982074737549,0.9931753277778625,0.9992639422416687,0.49709296226501465,0.49925264716148376,0.9933183789253235,0.0,0.845055103302002
3,,,,,,,,,,,,,,,,,,,-25.605480194091797,1.4999999621068127e-05,-0.036203768104314804,1.0337531566619873,,,,,,,,,,,,,,9.774064064025879,0.020723819732666016,19.0,0.10011155903339386,42.400001525878906,5.875427722930908,-0.05948207899928093,0.0,0.9872259497642517,0.995232880115509,0.9898297786712646,0.998729944229126,0.49590983986854553,0.4973825514316559,0.990435779094696,0.0,0.715799868106842
4,,,,,,,,,,,,,,,,,,,-25.591190338134766,2.2500000341096893e-05,-0.03834955021739006,1.0914616584777832,,,,,,,,,,,,,,7.686006546020508,0.016061067581176758,24.0,0.10015934705734253,42.400001525878906,5.875427722930908,-0.05915448069572449,0.0,0.9828082919120789,0.9899742007255554,0.9793700575828552,0.9971824288368225,0.49094513058662415,0.49456679821014404,0.980840265750885,0.0,0.6543805003166199
5,,,,,,,,,,,,,,,,,,,-25.579689025878906,2.2500000341096893e-05,-0.03955430909991264,0.9539317488670349,,,,,,,,,,,,,,7.613621711730957,0.018062829971313477,25.0,0.10019732266664505,42.400001525878906,5.875427722930908,-0.06069323793053627,0.0,0.9816928505897522,0.9844428896903992,0.9474231600761414,0.9914758205413818,0.4756428897380829,0.482880562543869,0.9653080105781555,0.0,0.5242676138877869
6,,,,,,,,,,,,,,,,,,,-25.562681198120117,2.2500000341096893e-05,-0.0377676896750927,0.7725393176078796,,,,,,,,,,,,,,7.974130630493164,0.018362760543823242,24.0,0.10028796643018723,42.400001525878906,5.875427722930908,-0.0586698092520237,0.0,0.9506033062934875,0.9240595698356628,0.8469751477241516,0.9554179310798645,0.4206888675689697,0.43416646122932434,0.9549810886383057,0.0,0.4712716042995453
7,,,,,,,,,,,,,,,,,,,-25.543418884277344,1.4999999621068127e-05,-0.04272649809718132,0.8432720899581909,,,,,,,,,,,,,,7.517067909240723,0.018071889877319336,25.0,0.10031189024448395,93.375,11.657133102416992,-0.060615986585617065,-1.0523497628867062e-08,0.9356338977813721,0.8931388854980469,0.8621485233306885,0.946202278137207,0.4330529272556305,0.4366621971130371,0.9585554599761963,0.0,0.621411144733429
8,,,,,,,,,,,,,,,,,,,-25.541532516479492,2.2500000341096893e-05,-0.03202899172902107,0.7304127216339111,,,,,,,,,,,,,,7.739958763122559,0.018187999725341797,24.0,0.10030746459960938,113.0999984741211,14.502913475036621,-0.06232508644461632,0.0,0.9816067814826965,0.9876189827919006,0.9667835235595703,0.9948294758796692,0.48721686005592346,0.4870804250240326,0.9738271832466125,0.0,0.5565013289451599
9,,,,,,,,,,,,,,,,,,,-25.544666290283203,2.2500000341096893e-05,-0.03476022183895111,0.7755564451217651,,,,,,,,,,,,,,7.349081993103027,0.018877267837524414,26.0,0.10028427094221115,115.90908813476562,14.810853004455566,-0.060579877346754074,0.0,0.9711758494377136,0.9334945678710938,0.8924906849861145,0.9697653651237488,0.45182231068611145,0.44767895340919495,0.9597699046134949,0.0,0.46258971095085144
