iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,,-25.677894592285156,2.60122942563612e-05,0.1810806691646576,0.730194628238678,,,,,,,,,,,,,,8.872801780700684,0.03828096389770508,21.0,0.09984654188156128,12.5,1.4838453531265259,-0.060613613575696945,0.0,0.9926877021789551,0.9985273480415344,0.997265100479126,0.9997816681861877,0.49850261211395264,0.49989891052246094,0.9976491928100586,0.0
1,,,,,,,,,,,,,,,,,,-25.67300796508789,9.999999747378752e-06,-0.027268771082162857,1.0114340782165527,,,,,,,,,,,,,,8.352765083312988,0.01848769187927246,22.0,0.09986381977796555,12.5,1.4838453531265259,-0.06111523509025574,-7.096867538081142e-09,0.9904056191444397,0.9969651103019714,0.990400493144989,0.999225914478302,0.49691328406333923,0.49904903769493103,0.9890391826629639,0.0
2,,,,,,,,,,,,,,,,,,-25.66988182067871,3.3749998692655936e-05,-0.03001517243683338,0.9567762017250061,,,,,,,,,,,,,,8.156390190124512,0.01816701889038086,23.0,0.09986566007137299,12.5,1.4838453531265259,-0.057041168212890625,0.0,0.9892187714576721,0.995699405670166,0.9821922183036804,0.9984428286552429,0.4947240352630615,0.49710914492607117,0.9820484519004822,0.0
3,,,,,,,,,,,,,,,,,,-25.657936096191406,1.4999999621068127e-05,-0.036747731268405914,0.8169830441474915,,,,,,,,,,,,,,9.16894817352295,0.019051790237426758,20.0,0.09995212405920029,12.5,1.4838453531265259,-0.058778066188097,0.0,0.9823293089866638,0.9782657027244568,0.9595505595207214,0.9931313991546631,0.48332682251930237,0.4854007661342621,0.9801743626594543,0.0
4,,,,,,,,,,,,,,,,,,-25.638315200805664,2.2500000341096893e-05,-0.03562777489423752,0.7587523460388184,,,,,,,,,,,,,,8.258609771728516,0.024229049682617188,23.0,0.10000258684158325,57.75,6.564896583557129,-0.059656109660863876,0.0,0.9757356643676758,0.9571544528007507,0.9411705136299133,0.9831182956695557,0.47276368737220764,0.47681745886802673,0.9767589569091797,0.0
5,,,,,,,,,,,,,,,,,,-25.621845245361328,1.4999999621068127e-05,-0.036856185644865036,0.7947791218757629,,,,,,,,,,,,,,8.357826232910156,0.018167972564697266,22.0,0.10006402432918549,57.75,6.564896583557129,-0.06047113612294197,0.0,0.9836926460266113,0.9922448992729187,0.9717329144477844,0.9976484179496765,0.49124613404273987,0.49645283818244934,0.9730443358421326,0.0
6,,,,,,,,,,,,,,,,,,-25.60283660888672,3.3749998692655936e-05,-0.02900208905339241,0.6949616074562073,,,,,,,,,,,,,,7.403310775756836,0.016340255737304688,25.0,0.1001502051949501,83.33333587646484,9.680811882019043,-0.0589551217854023,-3.0738107170691364e-08,0.9850212931632996,0.9931465983390808,0.9608023762702942,0.9961382746696472,0.48620137572288513,0.49343761801719666,0.9657546877861023,0.0
7,,,,,,,,,,,,,,,,,,-25.58745765686035,2.2500000341096893e-05,-0.04631742835044861,0.617035984992981,,,,,,,,,,,,,,7.255694389343262,0.026463031768798828,26.0,0.10014022886753082,96.0,11.205252647399902,-0.06025281548500061,0.0,0.9818413853645325,0.9886224865913391,0.9334384799003601,0.9924247860908508,0.47394004464149475,0.4849565327167511,0.947767972946167,0.0
8,,,,,,,,,,,,,,,,,,-25.59326934814453,1.4999999621068127e-05,-0.03563689813017845,0.5691106915473938,,,,,,,,,,,,,,7.232178688049316,0.016002178192138672,26.0,0.10012150555849075,96.0,11.205252647399902,-0.06161943078041077,0.0,0.9655666351318359,0.9330485463142395,0.8585658669471741,0.9694962501525879,0.44148778915405273,0.441413551568985,0.9398049712181091,0.0
9,,,,,,,,,,,,,,,,,,-25.594093322753906,2.2500000341096893e-05,-0.03128773346543312,0.6034024953842163,,,,,,,,,,,,,,7.242605209350586,0.020360946655273438,26.0,0.10014703124761581,113.5999984741211,13.047043800354004,-0.061370085924863815,-1.3885130556445802e-07,0.9536445736885071,0.8914711475372314,0.8384675979614258,0.9492222666740417,0.4288971424102783,0.4223521053791046,0.9513539671897888,0.0
