iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,,-5.503643035888672,2.60122942563612e-05,0.0706561729311943,0.15386787056922913,,,,,,,,,,,,,,29.048568725585938,0.04451894760131836,6.0,0.20019084215164185,15.0,1.2256008386611938,-0.260448694229126,0.0,0.344557523727417,0.5146260857582092,0.6073495745658875,0.8984147906303406,0.21835845708847046,0.4740370213985443,0.8124487400054932,0.0
1,,,,,,,,,,,,,,,,,,-5.4960174560546875,9.999999747378752e-06,-0.04115096852183342,0.06987310945987701,,,,,,,,,,,,,,30.608562469482422,0.031219959259033203,6.0,0.20021583139896393,28.33333396911621,1.8260663747787476,-0.2670339345932007,0.0,0.2979449927806854,0.4520801603794098,0.5272043347358704,0.8298243880271912,0.18724322319030762,0.439329594373703,0.8150333762168884,0.0
2,,,,,,,,,,,,,,,,,,-5.49425745010376,3.3749998692655936e-05,-0.04613351821899414,0.055139899253845215,,,,,,,,,,,,,,32.530330657958984,0.032568931579589844,5.0,0.2002166211605072,28.8125,1.8427850008010864,-0.26409095525741577,0.0,0.3324303925037384,0.4631713926792145,0.48034587502479553,0.8075664639472961,0.18455684185028076,0.43786606192588806,0.7991086840629578,0.0
3,,,,,,,,,,,,,,,,,,-5.49310827255249,1.4999999621068127e-05,-0.04789212346076965,0.04010535776615143,,,,,,,,,,,,,,31.504886627197266,0.02987813949584961,6.0,0.20023639500141144,29.20833396911621,1.859559416770935,-0.27152788639068604,0.0,0.28206393122673035,0.4318881034851074,0.4436831772327423,0.7950577139854431,0.14686013758182526,0.4303115904331207,0.7870786190032959,0.0
4,,,,,,,,,,,,,,,,,,-5.490252494812012,3.3749998692655936e-05,-0.054077986627817154,0.06791085004806519,,,,,,,,,,,,,,30.32408905029297,0.039981842041015625,6.0,0.2002488076686859,29.10344886779785,1.8572026491165161,-0.26292333006858826,0.0,0.2458791881799698,0.4127122163772583,0.4262736737728119,0.8063628077507019,0.12261319905519485,0.43785449862480164,0.7738786339759827,0.0
5,-0.05903591960668564,0.0,0.06580670177936554,0.10083327442407608,0.10573424398899078,0.1828690767288208,0.036287181079387665,0.09818265587091446,0.1771765649318695,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.490472316741943,1.4999999621068127e-05,-0.0546264685690403,0.046080321073532104,4.663994789123535,1.2604389190673828,0.26673296093940735,1.1378991603851318,4.881962299346924,1.4098548889160156,0.26889103651046753,0.7358914613723755,0.5726677179336548,8.568962097167969,0.0,0.0,0.0,31.235925674438477,0.029213905334472656,6.0,0.2002316117286682,29.294116973876953,1.8651442527770996,-0.26009514927864075,0.0,0.3018624186515808,0.4608936607837677,0.5233432650566101,0.8464804291725159,0.18267269432544708,0.4529477059841156,0.8026929497718811,0.0
6,,,,,,,,,,,,,,,,,,-5.493552207946777,3.3749998692655936e-05,-0.044328611344099045,0.04194037243723869,,,,,,,,,,,,,,29.720895767211914,0.03933382034301758,6.0,0.20021723210811615,29.390243530273438,1.8709849119186401,-0.2616941034793854,-3.083039928242215e-06,0.3172440230846405,0.458278089761734,0.5200235247612,0.8296337723731995,0.19044488668441772,0.44144585728645325,0.805375874042511,0.0
7,,,,,,,,,,,,,,,,,,-5.496833324432373,1.4999999621068127e-05,-0.058631531894207,0.02463849075138569,,,,,,,,,,,,,,30.133586883544922,0.031232118606567383,6.0,0.20018650591373444,29.346939086914062,1.868804693222046,-0.25372377038002014,0.0,0.3195459842681885,0.4463596045970917,0.4840681254863739,0.8122943043708801,0.18069493770599365,0.4395190179347992,0.8044333457946777,0.0
8,,,,,,,,,,,,,,,,,,-5.498752117156982,3.3749998692655936e-05,-0.04263049364089966,0.02362344041466713,,,,,,,,,,,,,,28.558481216430664,0.026998043060302734,6.0,0.2001892626285553,29.3157901763916,1.8675554990768433,-0.2557240426540375,0.0,0.2848100960254669,0.4220292270183563,0.44728636741638184,0.7972421646118164,0.15235018730163574,0.4362373352050781,0.7935426235198975,0.0
9,,,,,,,,,,,,,,,,,,-5.5017547607421875,2.2500000341096893e-05,-0.05074790120124817,0.013704872690141201,,,,,,,,,,,,,,29.648012161254883,0.03194594383239746,6.0,0.2001430094242096,29.29032325744629,1.8660948276519775,-0.26199114322662354,0.0,0.2835870087146759,0.4324096143245697,0.4562946557998657,0.8185427188873291,0.1479651927947998,0.44487595558166504,0.7955045700073242,0.0
